########## REPORT GEN: 2 ##########
SPECIES: 
Carlson        		Mean: 67.51 		Best: 942.62 		N:15
Paxton         		Mean: 137.01 		Best: 960.28 		N:7
Cooper         		Mean: 136.25 		Best: 959.9 		N:7
Earley         		Mean: 238.88 		Best: 959.9 		N:4
Necaise        		Mean: 189.69 		Best: 959.9 		N:5
Carlson        		Mean: 186.57 		Best: 942.62 		N:5
Merritt        		Mean: 158.2 		Best: 942.62 		N:6
Avila          		Mean: 238.27 		Best: 942.62 		N:4
Toney          		Mean: 137.41 		Best: 943.77 		N:7
Hammond        		Mean: 470.6 		Best: 940.04 		N:2
Batey          		Mean: 189.05 		Best: 939.89 		N:5
Olson          		Mean: 156.59 		Best: 939.89 		N:6
Dozier         		Mean: 157.15 		Best: 934.59 		N:6
Kamphoefner    		Mean: 467.62 		Best: 933.52 		N:2
Otterson       		Mean: 233.73 		Best: 932.32 		N:4
Bond           		Mean: 117.9 		Best: 931.27 		N:8
Hyman          		Mean: 465.84 		Best: 927.26 		N:2
Fleming        		Mean: 311.82 		Best: 919.23 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Harris         		Mean: 105.84 		Best: 960.38 		N:9
Paxton         		Mean: 117.35 		Best: 960.38 		N:8
Carlson        		Mean: 158.25 		Best: 960.38 		N:6
Toney          		Mean: 318.04 		Best: 960.38 		N:3
Mccauley       		Mean: 473.96 		Best: 960.38 		N:2
Kamphoefner    		Mean: 236.24 		Best: 960.28 		N:4
Bond           		Mean: 238.7 		Best: 960.28 		N:4
Cooper         		Mean: 105.6 		Best: 959.9 		N:9
Merritt        		Mean: 236.32 		Best: 959.9 		N:4
Hammond        		Mean: 134.97 		Best: 959.9 		N:7
Necaise        		Mean: 236.76 		Best: 945.7 		N:4
Dozier         		Mean: 238.21 		Best: 942.94 		N:4
Cantwell       		Mean: 237.18 		Best: 942.61 		N:4
Avila          		Mean: 315.11 		Best: 940.04 		N:3
Fleming        		Mean: 118.2 		Best: 935.58 		N:8
Otterson       		Mean: 188.18 		Best: 933.51 		N:5
Earley         		Mean: 314.27 		Best: 934.48 		N:3
Parsley        		Mean: 234.58 		Best: 930.46 		N:4
Batey          		Mean: 465.52 		Best: 930.46 		N:2
Olson          		Mean: 232.97 		Best: 930.46 		N:4
Hyman          		Mean: 312.91 		Best: 924.98 		N:3

########## REPORT GEN: 15 ##########
SPECIES: 
Harris         		Mean: 190.51 		Best: 960.38 		N:5
Paxton         		Mean: 118.22 		Best: 960.38 		N:8
Hammond        		Mean: 158.08 		Best: 960.38 		N:6
Batey          		Mean: 480.96 		Best: 960.38 		N:2
Olson          		Mean: 237.01 		Best: 960.38 		N:4
Mccauley       		Mean: 94.25 		Best: 960.28 		N:10
Earley         		Mean: 191.15 		Best: 960.28 		N:5
Dozier         		Mean: 316.01 		Best: 960.28 		N:3
Kamphoefner    		Mean: 86.26 		Best: 959.9 		N:11
Otterson       		Mean: 117.36 		Best: 955.49 		N:8
Bond           		Mean: 237.48 		Best: 945.7 		N:4
Parsley        		Mean: 119.01 		Best: 945.7 		N:8
Fleming        		Mean: 188.55 		Best: 942.94 		N:5
Carlson        		Mean: 467.5 		Best: 942.62 		N:2
Toney          		Mean: 315.01 		Best: 942.62 		N:3
Cantwell       		Mean: 188.5 		Best: 940.04 		N:5
Merritt        		Mean: 306.29 		Best: 932.32 		N:3
Hyman          		Mean: 308.09 		Best: 920.18 		N:3
Avila          		Mean: 312.18 		Best: 918.48 		N:3

########## REPORT GEN: 16 ##########
SPECIES: 
Olson          		Mean: 237.13 		Best: 960.38 		N:4
Earley         		Mean: 86.13 		Best: 960.38 		N:11
Otterson       		Mean: 157.89 		Best: 960.38 		N:6
Fleming        		Mean: 158.71 		Best: 960.38 		N:6
Avila          		Mean: 192.08 		Best: 960.38 		N:5
Paxton         		Mean: 189.43 		Best: 960.28 		N:5
Parsley        		Mean: 157.78 		Best: 960.28 		N:6
Mccauley       		Mean: 235.62 		Best: 959.9 		N:4
Cantwell       		Mean: 189.47 		Best: 960.38 		N:5
Cooper         		Mean: 135.33 		Best: 959.9 		N:7
Hammond        		Mean: 313.15 		Best: 936.05 		N:3
Dozier         		Mean: 309.39 		Best: 935.58 		N:3
Toney          		Mean: 310.4 		Best: 935.14 		N:3
Batey          		Mean: 309.46 		Best: 933.16 		N:3
Harris         		Mean: 154.61 		Best: 932.32 		N:6
Necaise        		Mean: 464.01 		Best: 932.32 		N:2
Carlson        		Mean: 235.72 		Best: 931.96 		N:4
Merritt        		Mean: 155.5 		Best: 931.04 		N:6
Hyman          		Mean: 185.84 		Best: 930.46 		N:5
Bond           		Mean: 187.0 		Best: 927.26 		N:5

########## REPORT GEN: 17 ##########
SPECIES: 
Kamphoefner    		Mean: 105.41 		Best: 960.38 		N:9
Otterson       		Mean: 475.63 		Best: 960.38 		N:2
Cantwell       		Mean: 134.13 		Best: 960.38 		N:7
Harris         		Mean: 188.86 		Best: 960.38 		N:5
Merritt        		Mean: 187.55 		Best: 960.38 		N:5
Hyman          		Mean: 190.8 		Best: 960.38 		N:5
Fleming        		Mean: 187.35 		Best: 960.28 		N:5
Earley         		Mean: 187.24 		Best: 959.9 		N:5
Mccauley       		Mean: 156.94 		Best: 959.9 		N:6
Batey          		Mean: 157.51 		Best: 958.71 		N:6
Carlson        		Mean: 235.81 		Best: 957.45 		N:4
Necaise        		Mean: 93.91 		Best: 946.05 		N:10
Avila          		Mean: 310.83 		Best: 936.05 		N:3
Dozier         		Mean: 234.28 		Best: 936.05 		N:4
Parsley        		Mean: 117.17 		Best: 935.58 		N:8
Hammond        		Mean: 463.02 		Best: 935.58 		N:2
Toney          		Mean: 467.96 		Best: 933.52 		N:2
Bond           		Mean: 155.07 		Best: 933.52 		N:6
Cooper         		Mean: 461.19 		Best: 931.96 		N:2
Paxton         		Mean: 309.5 		Best: 916.73 		N:3

########## REPORT GEN: 18 ##########
SPECIES: 
Otterson       		Mean: 118.98 		Best: 960.38 		N:8
Merritt        		Mean: 134.25 		Best: 960.38 		N:7
Batey          		Mean: 316.18 		Best: 960.38 		N:3
Cooper         		Mean: 188.51 		Best: 960.38 		N:5
Paxton         		Mean: 234.69 		Best: 960.38 		N:4
Kamphoefner    		Mean: 117.81 		Best: 960.28 		N:8
Hyman          		Mean: 189.52 		Best: 959.9 		N:5
Toney          		Mean: 236.43 		Best: 959.9 		N:4
Earley         		Mean: 158.78 		Best: 960.38 		N:6
Necaise        		Mean: 479.24 		Best: 957.45 		N:2
Carlson        		Mean: 84.52 		Best: 946.05 		N:11
Cantwell       		Mean: 185.71 		Best: 936.05 		N:5
Harris         		Mean: 233.97 		Best: 936.05 		N:4
Hammond        		Mean: 308.51 		Best: 936.05 		N:3
Fleming        		Mean: 155.98 		Best: 935.58 		N:6
Mccauley       		Mean: 232.96 		Best: 935.14 		N:4
Parsley        		Mean: 309.38 		Best: 931.96 		N:3
Dozier         		Mean: 155.1 		Best: 931.03 		N:6
Avila          		Mean: 466.02 		Best: 928.14 		N:2
Bond           		Mean: 310.93 		Best: 927.26 		N:3

########## REPORT GEN: 19 ##########
SPECIES: 
Batey          		Mean: 189.01 		Best: 960.38 		N:5
Toney          		Mean: 314.56 		Best: 960.38 		N:3
Dozier         		Mean: 95.03 		Best: 960.38 		N:10
Olson          		Mean: 116.89 		Best: 960.38 		N:8
Hyman          		Mean: 317.99 		Best: 959.9 		N:3
Carlson        		Mean: 187.15 		Best: 958.71 		N:5
Harris         		Mean: 471.54 		Best: 957.45 		N:2
Hammond        		Mean: 133.27 		Best: 957.45 		N:7
Cantwell       		Mean: 234.12 		Best: 942.62 		N:4
Kamphoefner    		Mean: 311.71 		Best: 936.05 		N:3
Earley         		Mean: 314.16 		Best: 936.05 		N:3
Necaise        		Mean: 186.45 		Best: 936.05 		N:5
Paxton         		Mean: 185.54 		Best: 931.96 		N:5
Fleming        		Mean: 155.04 		Best: 931.96 		N:6
Mccauley       		Mean: 157.67 		Best: 936.05 		N:6
Merritt        		Mean: 232.32 		Best: 928.14 		N:4
Cooper         		Mean: 233.8 		Best: 928.14 		N:4
Otterson       		Mean: 155.15 		Best: 931.96 		N:6
Parsley        		Mean: 133.16 		Best: 928.08 		N:7
Bond           		Mean: 306.8 		Best: 920.18 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Parsley        		Mean: 317.0 		Best: 967.91 		N:3
Olson          		Mean: 156.49 		Best: 960.38 		N:6
Earley         		Mean: 159.0 		Best: 960.38 		N:6
Necaise        		Mean: 157.7 		Best: 960.38 		N:6
Cooper         		Mean: 134.12 		Best: 960.38 		N:7
Kamphoefner    		Mean: 314.66 		Best: 959.9 		N:3
Fleming        		Mean: 188.19 		Best: 958.71 		N:5
Hyman          		Mean: 187.88 		Best: 957.45 		N:5
Hammond        		Mean: 103.59 		Best: 957.45 		N:9
Merritt        		Mean: 233.91 		Best: 957.45 		N:4
Toney          		Mean: 134.0 		Best: 946.05 		N:7
Otterson       		Mean: 313.85 		Best: 944.26 		N:3
Mccauley       		Mean: 154.87 		Best: 936.05 		N:6
Avila          		Mean: 233.65 		Best: 931.96 		N:4
Bond           		Mean: 232.55 		Best: 931.03 		N:4
Batey          		Mean: 307.03 		Best: 928.14 		N:3
Harris         		Mean: 234.38 		Best: 928.14 		N:4
Paxton         		Mean: 154.34 		Best: 927.26 		N:6
Carlson        		Mean: 115.66 		Best: 926.47 		N:8
Cantwell       		Mean: 453.85 		Best: 895.99 		N:2

########## REPORT GEN: 21 ##########
SPECIES: 
Mccauley       		Mean: 192.29 		Best: 967.91 		N:5
Olson          		Mean: 312.83 		Best: 960.38 		N:3
Hammond        		Mean: 238.43 		Best: 960.38 		N:4
Otterson       		Mean: 117.16 		Best: 960.38 		N:8
Harris         		Mean: 235.56 		Best: 959.9 		N:4
Fleming        		Mean: 117.41 		Best: 957.45 		N:8
Merritt        		Mean: 189.7 		Best: 957.45 		N:5
Bond           		Mean: 186.58 		Best: 957.45 		N:5
Paxton         		Mean: 187.24 		Best: 946.14 		N:5
Avila          		Mean: 93.37 		Best: 944.26 		N:10
Earley         		Mean: 187.32 		Best: 936.21 		N:5
Hyman          		Mean: 116.02 		Best: 936.05 		N:8
Cooper         		Mean: 155.23 		Best: 934.4 		N:6
Cantwell       		Mean: 183.84 		Best: 931.03 		N:5
Parsley        		Mean: 185.97 		Best: 928.14 		N:5
Necaise        		Mean: 230.62 		Best: 928.14 		N:4
Toney          		Mean: 309.89 		Best: 928.14 		N:3
Kamphoefner    		Mean: 306.47 		Best: 925.28 		N:3
Batey          		Mean: 302.7 		Best: 914.97 		N:3

########## REPORT GEN: 22 ##########
SPECIES: 
Hyman          		Mean: 156.48 		Best: 967.91 		N:6
Hammond        		Mean: 134.7 		Best: 960.38 		N:7
Otterson       		Mean: 235.44 		Best: 960.38 		N:4
Paxton         		Mean: 158.39 		Best: 960.38 		N:6
Kamphoefner    		Mean: 191.26 		Best: 960.38 		N:5
Toney          		Mean: 93.8 		Best: 959.9 		N:10
Cantwell       		Mean: 186.52 		Best: 957.45 		N:5
Cooper         		Mean: 233.02 		Best: 946.14 		N:4
Earley         		Mean: 231.42 		Best: 946.05 		N:4
Parsley        		Mean: 187.64 		Best: 944.26 		N:5
Olson          		Mean: 313.22 		Best: 936.21 		N:3
Harris         		Mean: 153.82 		Best: 934.6 		N:6
Mccauley       		Mean: 309.45 		Best: 931.03 		N:3
Bond           		Mean: 233.55 		Best: 928.7 		N:4
Avila          		Mean: 187.34 		Best: 928.7 		N:5
Fleming        		Mean: 233.66 		Best: 928.14 		N:4
Merritt        		Mean: 133.47 		Best: 928.14 		N:7
Batey          		Mean: 154.26 		Best: 927.26 		N:6
Necaise        		Mean: 232.11 		Best: 926.47 		N:4
Carlson        		Mean: 462.62 		Best: 925.28 		N:2

########## REPORT GEN: 23 ##########
SPECIES: 
Carlson        		Mean: 105.01 		Best: 967.91 		N:9
Otterson       		Mean: 189.48 		Best: 960.38 		N:5
Parsley        		Mean: 104.68 		Best: 960.38 		N:9
Kamphoefner    		Mean: 188.31 		Best: 960.38 		N:5
Avila          		Mean: 190.48 		Best: 960.38 		N:5
Bond           		Mean: 116.5 		Best: 959.9 		N:8
Hyman          		Mean: 188.35 		Best: 957.45 		N:5
Cooper         		Mean: 156.15 		Best: 957.45 		N:6
Earley         		Mean: 311.84 		Best: 946.14 		N:3
Cantwell       		Mean: 133.59 		Best: 946.14 		N:7
Toney          		Mean: 231.72 		Best: 944.26 		N:4
Batey          		Mean: 133.26 		Best: 934.4 		N:7
Harris         		Mean: 185.25 		Best: 931.03 		N:5
Hammond        		Mean: 185.44 		Best: 928.7 		N:5
Paxton         		Mean: 469.12 		Best: 928.7 		N:2
Mccauley       		Mean: 231.6 		Best: 928.7 		N:4
Olson          		Mean: 309.09 		Best: 927.26 		N:3
Fleming        		Mean: 308.34 		Best: 920.89 		N:3
Necaise        		Mean: 228.73 		Best: 920.77 		N:4

########## REPORT GEN: 24 ##########
SPECIES: 
Batey          		Mean: 156.3 		Best: 967.91 		N:6
Kamphoefner    		Mean: 238.69 		Best: 960.38 		N:4
Necaise        		Mean: 312.03 		Best: 960.38 		N:3
Hyman          		Mean: 235.19 		Best: 960.38 		N:4
Earley         		Mean: 93.21 		Best: 960.38 		N:10
Otterson       		Mean: 232.99 		Best: 957.45 		N:4
Bond           		Mean: 189.16 		Best: 957.45 		N:5
Hammond        		Mean: 234.7 		Best: 957.45 		N:4
Avila          		Mean: 134.27 		Best: 944.26 		N:7
Harris         		Mean: 132.62 		Best: 944.26 		N:7
Parsley        		Mean: 93.38 		Best: 942.62 		N:10
Cantwell       		Mean: 232.93 		Best: 934.11 		N:4
Paxton         		Mean: 154.06 		Best: 928.7 		N:6
Olson          		Mean: 131.85 		Best: 928.7 		N:7
Merritt        		Mean: 311.11 		Best: 928.7 		N:3
Carlson        		Mean: 459.92 		Best: 928.14 		N:2
Mccauley       		Mean: 230.7 		Best: 928.14 		N:4
Cooper         		Mean: 153.86 		Best: 927.26 		N:6
Fleming        		Mean: 307.41 		Best: 920.42 		N:3

########## REPORT GEN: 25 ##########
SPECIES: 
Bond           		Mean: 156.53 		Best: 967.91 		N:6
Mccauley       		Mean: 233.06 		Best: 967.91 		N:4
Hyman          		Mean: 104.67 		Best: 960.38 		N:9
Parsley        		Mean: 133.3 		Best: 960.38 		N:7
