########## REPORT GEN: 2 ##########
SPECIES: 
Toca           		Mean: 323.97 		Best: 941.16 		N:3
Church         		Mean: 319.51 		Best: 941.16 		N:3
Mercado        		Mean: 137.0 		Best: 941.16 		N:7
Toca           		Mean: 198.01 		Best: 941.16 		N:5
Field          		Mean: 125.56 		Best: 941.16 		N:8
Layton         		Mean: 241.44 		Best: 941.16 		N:4
Cheek          		Mean: 166.94 		Best: 941.16 		N:6
Lockridge      		Mean: 319.71 		Best: 941.16 		N:3
Gilchrist      		Mean: 316.33 		Best: 941.16 		N:3
Atkins         		Mean: 240.88 		Best: 939.13 		N:4
Mashburn       		Mean: 163.11 		Best: 923.72 		N:6
Savage         		Mean: 461.24 		Best: 922.48 		N:2
Gabbert        		Mean: 307.26 		Best: 917.74 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
Field          		Mean: 143.45 		Best: 941.16 		N:7
Smith          		Mean: 166.32 		Best: 941.16 		N:6
Gabbert        		Mean: 136.51 		Best: 941.16 		N:7
Church         		Mean: 236.85 		Best: 941.16 		N:4
Cheek          		Mean: 487.64 		Best: 941.16 		N:2
Lockridge      		Mean: 195.13 		Best: 941.16 		N:5
Thurmond       		Mean: 318.31 		Best: 941.16 		N:3
Mashburn       		Mean: 159.26 		Best: 941.16 		N:6
Gilchrist      		Mean: 160.36 		Best: 941.16 		N:6
Atkins         		Mean: 309.31 		Best: 922.48 		N:3
Savage         		Mean: 232.28 		Best: 922.48 		N:4
Mercado        		Mean: 458.87 		Best: 917.74 		N:2

########## REPORT GEN: 7 ##########
SPECIES: 
Church         		Mean: 138.16 		Best: 941.16 		N:7
Mercado        		Mean: 191.33 		Best: 941.16 		N:5
Toca           		Mean: 470.58 		Best: 941.16 		N:2
Thurmond       		Mean: 157.59 		Best: 941.16 		N:6
Buchanan       		Mean: 472.75 		Best: 941.16 		N:2
Gilchrist      		Mean: 490.55 		Best: 941.16 		N:2
Mashburn       		Mean: 97.83 		Best: 941.16 		N:10
Atkins         		Mean: 154.63 		Best: 922.48 		N:6
Savage         		Mean: 233.69 		Best: 922.48 		N:4
Gabbert        		Mean: 458.87 		Best: 917.74 		N:2

########## REPORT GEN: 8 ##########
SPECIES: 
Mercado        		Mean: 235.47 		Best: 941.16 		N:4
Church         		Mean: 249.78 		Best: 941.16 		N:4
Toca           		Mean: 235.29 		Best: 941.16 		N:4
Cheek          		Mean: 472.63 		Best: 941.16 		N:2
Lockridge      		Mean: 325.52 		Best: 941.16 		N:3
Buchanan       		Mean: 237.91 		Best: 941.16 		N:4
Mashburn       		Mean: 143.21 		Best: 941.16 		N:7
Smith          		Mean: 325.48 		Best: 941.16 		N:3
Atkins         		Mean: 309.45 		Best: 922.48 		N:3
Savage         		Mean: 310.49 		Best: 919.81 		N:3
Thurmond       		Mean: 459.93 		Best: 919.37 		N:2
Gabbert        		Mean: 463.37 		Best: 917.74 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Gabbert        		Mean: 233.84 		Best: 941.16 		N:4
Church         		Mean: 109.14 		Best: 941.16 		N:9
Toca           		Mean: 236.2 		Best: 941.16 		N:4
Cheek          		Mean: 235.29 		Best: 941.16 		N:4
Lockridge      		Mean: 482.96 		Best: 941.16 		N:2
Buchanan       		Mean: 239.66 		Best: 941.16 		N:4
Randell        		Mean: 468.22 		Best: 941.16 		N:2
Gilchrist      		Mean: 140.08 		Best: 941.16 		N:7
Smith          		Mean: 469.57 		Best: 939.13 		N:2
Atkins         		Mean: 185.55 		Best: 922.48 		N:5
Savage         		Mean: 188.05 		Best: 919.92 		N:5
Mercado        		Mean: 231.01 		Best: 917.74 		N:4
Thurmond       		Mean: 230.67 		Best: 919.37 		N:4

########## REPORT GEN: 10 ##########
SPECIES: 
Smith          		Mean: 142.87 		Best: 941.16 		N:7
Mercado        		Mean: 133.61 		Best: 941.16 		N:7
Toca           		Mean: 190.53 		Best: 941.16 		N:5
Cheek          		Mean: 188.23 		Best: 941.16 		N:5
Lockridge      		Mean: 188.84 		Best: 941.16 		N:5
Buchanan       		Mean: 192.93 		Best: 941.16 		N:5
Randell        		Mean: 232.81 		Best: 941.16 		N:4
Church         		Mean: 316.54 		Best: 939.13 		N:3
Gilchrist      		Mean: 319.76 		Best: 941.16 		N:3
Allen          		Mean: 464.71 		Best: 929.42 		N:2
Atkins         		Mean: 233.57 		Best: 922.48 		N:4
Savage         		Mean: 233.46 		Best: 919.81 		N:4
Thurmond       		Mean: 184.66 		Best: 919.37 		N:5
Gabbert        		Mean: 308.52 		Best: 917.74 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Robinson       		Mean: 241.24 		Best: 941.16 		N:4
Smith          		Mean: 136.74 		Best: 941.16 		N:7
Toca           		Mean: 192.01 		Best: 941.16 		N:5
Cheek          		Mean: 188.62 		Best: 941.16 		N:5
Lockridge      		Mean: 191.95 		Best: 941.16 		N:5
Buchanan       		Mean: 191.01 		Best: 941.16 		N:5
Randell        		Mean: 155.76 		Best: 941.16 		N:6
Church         		Mean: 318.3 		Best: 939.13 		N:3
Gilchrist      		Mean: 318.11 		Best: 939.13 		N:3
Gabbert        		Mean: 158.61 		Best: 941.16 		N:6
Allen          		Mean: 232.89 		Best: 929.42 		N:4
Mercado        		Mean: 187.32 		Best: 927.73 		N:5
Atkins         		Mean: 133.86 		Best: 922.48 		N:7
Savage         		Mean: 133.2 		Best: 919.81 		N:7
Thurmond       		Mean: 184.44 		Best: 919.37 		N:5

########## REPORT GEN: 12 ##########
SPECIES: 
Robinson       		Mean: 194.61 		Best: 941.16 		N:5
Church         		Mean: 121.36 		Best: 941.16 		N:8
Toca           		Mean: 159.83 		Best: 941.16 		N:6
Cheek          		Mean: 157.42 		Best: 941.16 		N:6
Lockridge      		Mean: 237.01 		Best: 941.16 		N:4
Buchanan       		Mean: 158.55 		Best: 941.16 		N:6
Truax          		Mean: 470.03 		Best: 941.16 		N:2
Gilchrist      		Mean: 158.75 		Best: 939.13 		N:6
Allen          		Mean: 133.41 		Best: 929.42 		N:7
Gabbert        		Mean: 232.94 		Best: 927.73 		N:4
Mercado        		Mean: 156.29 		Best: 927.73 		N:6
Atkins         		Mean: 233.38 		Best: 922.48 		N:4
Savage         		Mean: 233.74 		Best: 919.81 		N:4
Smith          		Mean: 96.78 		Best: 939.13 		N:10
Randell        		Mean: 157.75 		Best: 941.16 		N:6
Thurmond       		Mean: 305.8 		Best: 917.4 		N:3

########## REPORT GEN: 13 ##########
SPECIES: 
Lockridge      		Mean: 106.99 		Best: 941.16 		N:9
Smith          		Mean: 121.03 		Best: 941.16 		N:8
Church         		Mean: 193.32 		Best: 941.16 		N:5
Toca           		Mean: 236.65 		Best: 941.16 		N:4
Cheek          		Mean: 236.89 		Best: 941.16 		N:4
Truax          		Mean: 309.58 		Best: 941.16 		N:3
Thurmond       		Mean: 188.69 		Best: 941.16 		N:5
Robinson       		Mean: 162.17 		Best: 941.16 		N:6
Allen          		Mean: 234.06 		Best: 929.42 		N:4
Gabbert        		Mean: 116.75 		Best: 927.73 		N:8
Mercado        		Mean: 311.84 		Best: 927.73 		N:3
Randell        		Mean: 236.7 		Best: 923.8 		N:4
Atkins         		Mean: 132.92 		Best: 922.48 		N:7
Wheeler        		Mean: 307.15 		Best: 919.98 		N:3
Savage         		Mean: 133.15 		Best: 919.91 		N:7

########## REPORT GEN: 14 ##########
SPECIES: 
Smith          		Mean: 160.9 		Best: 941.16 		N:6
Gajate         		Mean: 316.6 		Best: 941.16 		N:3
Lockridge      		Mean: 473.6 		Best: 941.16 		N:2
Toca           		Mean: 189.03 		Best: 941.16 		N:5
Cheek          		Mean: 186.83 		Best: 941.16 		N:5
Buchanan       		Mean: 134.25 		Best: 941.16 		N:7
Robinson       		Mean: 322.98 		Best: 941.16 		N:3
Mercado        		Mean: 117.2 		Best: 932.65 		N:8
Allen          		Mean: 187.55 		Best: 929.42 		N:5
Gabbert        		Mean: 136.26 		Best: 927.73 		N:7
Randell        		Mean: 461.9 		Best: 923.8 		N:2
Jones          		Mean: 467.45 		Best: 922.48 		N:2
Savage         		Mean: 464.97 		Best: 919.81 		N:2
Church         		Mean: 134.79 		Best: 941.16 		N:7
Thurmond       		Mean: 469.59 		Best: 917.4 		N:2
Truax          		Mean: 453.96 		Best: 902.7 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Toca           		Mean: 322.64 		Best: 941.16 		N:3
Savage         		Mean: 117.24 		Best: 941.16 		N:8
Lockridge      		Mean: 187.12 		Best: 941.16 		N:5
Cheek          		Mean: 465.46 		Best: 941.16 		N:2
Buchanan       		Mean: 473.58 		Best: 941.16 		N:2
Robinson       		Mean: 238.24 		Best: 941.16 		N:4
Church         		Mean: 312.84 		Best: 941.16 		N:3
Thurmond       		Mean: 188.07 		Best: 941.16 		N:5
Truax          		Mean: 312.12 		Best: 941.16 		N:3
Randell        		Mean: 232.5 		Best: 939.13 		N:4
Allen          		Mean: 464.71 		Best: 929.42 		N:2
Smith          		Mean: 470.45 		Best: 923.25 		N:2
Jones          		Mean: 232.33 		Best: 922.48 		N:4
Wheeler        		Mean: 309.18 		Best: 919.98 		N:3
Atkins         		Mean: 458.59 		Best: 915.94 		N:2
Mercado        		Mean: 188.28 		Best: 917.4 		N:5

########## REPORT GEN: 16 ##########
SPECIES: 
Gabbert        		Mean: 190.47 		Best: 941.16 		N:5
Toca           		Mean: 471.37 		Best: 941.16 		N:2
Cheek          		Mean: 230.26 		Best: 941.16 		N:4
Buchanan       		Mean: 155.31 		Best: 941.16 		N:6
Church         		Mean: 237.08 		Best: 941.16 		N:4
Truax          		Mean: 116.6 		Best: 941.16 		N:8
Smith          		Mean: 325.07 		Best: 941.16 		N:3
Wheeler        		Mean: 315.75 		Best: 941.16 		N:3
Mercado        		Mean: 106.22 		Best: 941.16 		N:9
Randell        		Mean: 467.23 		Best: 939.13 		N:2
Allen          		Mean: 232.76 		Best: 929.42 		N:4
Jones          		Mean: 185.48 		Best: 922.48 		N:5
Thurmond       		Mean: 466.07 		Best: 917.4 		N:2
Robinson       		Mean: 233.98 		Best: 917.19 		N:4
Atkins         		Mean: 459.12 		Best: 915.83 		N:2

########## REPORT GEN: 17 ##########
SPECIES: 
Truax          		Mean: 240.27 		Best: 941.16 		N:4
Gabbert        		Mean: 190.42 		Best: 941.16 		N:5
Cheek          		Mean: 238.73 		Best: 941.16 		N:4
Church         		Mean: 475.53 		Best: 941.16 		N:2
Wheeler        		Mean: 315.52 		Best: 941.16 		N:3
Savage         		Mean: 238.61 		Best: 941.16 		N:4
Thurmond       		Mean: 68.64 		Best: 941.16 		N:14
Robinson       		Mean: 312.81 		Best: 941.16 		N:3
Allen          		Mean: 311.19 		Best: 929.42 		N:3
Mercado        		Mean: 236.32 		Best: 927.73 		N:4
Randell        		Mean: 462.33 		Best: 924.65 		N:2
Smith          		Mean: 462.44 		Best: 923.72 		N:2
Lockridge      		Mean: 236.57 		Best: 923.64 		N:4
Atkins         		Mean: 306.54 		Best: 915.94 		N:3
Jones          		Mean: 459.02 		Best: 915.89 		N:2

########## REPORT GEN: 18 ##########
SPECIES: 
Truax          		Mean: 190.59 		Best: 941.16 		N:5
Gabbert        		Mean: 95.89 		Best: 941.16 		N:10
Toca           		Mean: 471.76 		Best: 941.16 		N:2
Buchanan       		Mean: 471.25 		Best: 941.16 		N:2
Church         		Mean: 468.35 		Best: 941.16 		N:2
Wheeler        		Mean: 185.65 		Best: 941.16 		N:5
Savage         		Mean: 189.11 		Best: 941.16 		N:5
Robinson       		Mean: 318.88 		Best: 941.16 		N:3
Smith          		Mean: 469.96 		Best: 941.16 		N:2
Lockridge      		Mean: 474.83 		Best: 941.16 		N:2
Allen          		Mean: 232.89 		Best: 929.42 		N:4
Thurmond       		Mean: 464.69 		Best: 927.73 		N:2
Randell        		Mean: 116.54 		Best: 928.69 		N:8
Atkins         		Mean: 230.47 		Best: 915.94 		N:4
Jones          		Mean: 459.37 		Best: 915.89 		N:2
Mercado        		Mean: 454.62 		Best: 909.24 		N:2

########## REPORT GEN: 19 ##########
SPECIES: 
Smith          		Mean: 479.5 		Best: 941.16 		N:2
Truax          		Mean: 120.22 		Best: 941.16 		N:8
Buchanan       		Mean: 471.07 		Best: 941.16 		N:2
Church         		Mean: 312.87 		Best: 941.16 		N:3
Wheeler        		Mean: 118.53 		Best: 941.16 		N:8
Robinson       		Mean: 472.64 		Best: 941.16 		N:2
Lockridge      		Mean: 161.23 		Best: 941.16 		N:6
Thurmond       		Mean: 119.49 		Best: 941.16 		N:8
Savage         		Mean: 317.01 		Best: 941.16 		N:3
Allen          		Mean: 233.09 		Best: 929.42 		N:4
Gabbert        		Mean: 186.52 		Best: 925.73 		N:5
Savage         		Mean: 312.19 		Best: 925.73 		N:3
Toca           		Mean: 465.22 		Best: 917.4 		N:2
Atkins         		Mean: 310.34 		Best: 917.4 		N:3
Jones          		Mean: 460.13 		Best: 915.89 		N:2
Mercado        		Mean: 455.88 		Best: 909.24 		N:2

########## REPORT GEN: 20 ##########
SPECIES: 
Truax          		Mean: 314.32 		Best: 941.16 		N:3
Smith          		Mean: 68.14 		Best: 941.16 		N:14
Church         		Mean: 237.72 		Best: 941.16 		N:4
Wheeler        		Mean: 479.49 		Best: 941.16 		N:2
Lockridge      		Mean: 105.05 		Best: 941.16 		N:9
Thurmond       		Mean: 189.46 		Best: 941.16 		N:5
Randell        		Mean: 234.43 		Best: 941.16 		N:4
Savage         		Mean: 158.55 		Best: 941.16 		N:6
Toca           		Mean: 96.8 		Best: 941.16 		N:10
Allen          		Mean: 464.72 		Best: 929.42 		N:2
Robinson       		Mean: 231.95 		Best: 917.4 		N:4
Atkins         		Mean: 306.76 		Best: 915.91 		N:3
Savage         		Mean: 311.86 		Best: 925.73 		N:3

########## REPORT GEN: 21 ##########
SPECIES: 
Allen          		Mean: 155.79 		Best: 948.91 		N:6
Smith          		Mean: 73.57 		Best: 941.16 		N:13
Wheeler        		Mean: 137.26 		Best: 941.16 		N:7
Thurmond       		Mean: 158.27 		Best: 941.16 		N:6
Randell        		Mean: 308.8 		Best: 941.16 		N:3
Toca           		Mean: 317.45 		Best: 941.16 		N:3
Truax          		Mean: 307.1 		Best: 920.75 		N:3
Lockridge      		Mean: 132.03 		Best: 919.57 		N:7
Robinson       		Mean: 229.25 		Best: 918.97 		N:4
Church         		Mean: 155.07 		Best: 920.75 		N:6
Atkins         		Mean: 184.05 		Best: 915.96 		N:5
Mercado        		Mean: 304.46 		Best: 909.24 		N:3

########## REPORT GEN: 22 ##########
SPECIES: 
Allen          		Mean: 314.58 		Best: 948.91 		N:3
Savage         		Mean: 237.78 		Best: 941.16 		N:4
Savage         		Mean: 63.62 		Best: 941.16 		N:15
Robinson       		Mean: 239.68 		Best: 941.16 		N:4
Randell        		Mean: 184.06 		Best: 920.75 		N:5
Church         		Mean: 117.95 		Best: 919.57 		N:8
Thurmond       		Mean: 466.37 		Best: 917.4 		N:2
Truax          		Mean: 312.04 		Best: 923.72 		N:3
Atkins         		Mean: 460.44 		Best: 915.91 		N:2
Lockridge      		Mean: 457.93 		Best: 915.89 		N:2
Toca           		Mean: 457.11 		Best: 914.22 		N:2
Mercado        		Mean: 152.41 		Best: 909.24 		N:6

########## REPORT GEN: 23 ##########
SPECIES: 
Allen          		Mean: 232.89 		Best: 948.91 		N:4
Savage         		Mean: 311.59 		Best: 948.91 		N:3
Thurmond       		Mean: 133.45 		Best: 941.16 		N:7
Savage         		Mean: 187.18 		Best: 941.16 		N:5
Wheeler        		Mean: 313.01 		Best: 941.16 		N:3
Robinson       		Mean: 158.2 		Best: 941.16 		N:6
Church         		Mean: 157.23 		Best: 941.16 		N:6
Truax          		Mean: 231.13 		Best: 941.16 		N:4
Toca           		Mean: 313.51 		Best: 941.16 		N:3
Lockridge      		Mean: 232.29 		Best: 917.4 		N:4
Smith          		Mean: 306.79 		Best: 915.91 		N:3
Atkins         		Mean: 306.27 		Best: 915.91 		N:3
Mercado        		Mean: 228.62 		Best: 909.24 		N:4

########## REPORT GEN: 24 ##########
SPECIES: 
Allen          		Mean: 116.36 		Best: 948.91 		N:8
Savage         		Mean: 185.95 		Best: 941.16 		N:5
Wheeler        		Mean: 235.1 		Best: 941.16 		N:4
Robinson       		Mean: 186.03 		Best: 941.16 		N:5
Church         		Mean: 236.14 		Best: 941.16 		N:4
Truax          		Mean: 134.33 		Best: 941.16 		N:7
Toca           		Mean: 317.63 		Best: 941.16 		N:3
Savage         		Mean: 230.11 		Best: 919.95 		N:4
Randell        		Mean: 460.2 		Best: 919.49 		N:2
Atkins         		Mean: 232.86 		Best: 917.4 		N:4
Thurmond       		Mean: 230.83 		Best: 915.91 		N:4
Smith          		Mean: 153.76 		Best: 915.91 		N:6
Lockridge      		Mean: 183.76 		Best: 915.89 		N:5
Mercado        		Mean: 181.47 		Best: 909.24 		N:5

########## REPORT GEN: 25 ##########
SPECIES: 
Savage         		Mean: 154.87 		Best: 948.91 		N:6
Wheeler        		Mean: 158.09 		Best: 941.16 		N:6
Savage         		Mean: 132.0 		Best: 941.16 		N:7
Robinson       		Mean: 92.47 		Best: 941.16 		N:10
Church         		Mean: 189.82 		Best: 941.16 		N:5
Truax          		Mean: 470.58 		Best: 941.16 		N:2
Randell        		Mean: 154.76 		Best: 941.16 		N:6
Toca           		Mean: 229.19 		Best: 920.47 		N:4
Allen          		Mean: 184.32 		Best: 919.95 		N:5
Atkins         		Mean: 186.42 		Best: 917.4 		N:5
Smith          		Mean: 153.95 		Best: 915.91 		N:6
Thurmond       		Mean: 132.03 		Best: 915.91 		N:7
Lockridge      		Mean: 183.73 		Best: 915.89 		N:5
Mercado        		Mean: 181.48 		Best: 909.24 		N:5

########## REPORT GEN: 26 ##########
SPECIES: 
Allen          		Mean: 115.96 		Best: 948.91 		N:8
Savage         		Mean: 186.71 		Best: 941.16 		N:5
Wheeler        		Mean: 104.49 		Best: 941.16 		N:9
Savage         		Mean: 306.96 		Best: 941.16 		N:3
Robinson       		Mean: 314.17 		Best: 941.16 		N:3
Church         		Mean: 116.76 		Best: 941.16 		N:8
Truax          		Mean: 185.06 		Best: 941.16 		N:5
Randell        		Mean: 311.11 		Best: 941.16 		N:3
Toca           		Mean: 237.81 		Best: 941.16 		N:4
Atkins         		Mean: 158.41 		Best: 941.16 		N:6
Smith          		Mean: 115.46 		Best: 920.0 		N:8
Thurmond       		Mean: 102.57 		Best: 915.93 		N:9
Lockridge      		Mean: 184.98 		Best: 915.91 		N:5
Mercado        		Mean: 151.31 		Best: 909.24 		N:6

########## REPORT GEN: 27 ##########
SPECIES: 
Allen          		Mean: 186.27 		Best: 948.91 		N:5
Wheeler        		Mean: 157.97 		Best: 941.16 		N:6
Atkins         		Mean: 159.21 		Best: 941.16 		N:6
Savage         		Mean: 113.9 		Best: 941.16 		N:8
Robinson       		Mean: 186.61 		Best: 941.16 		N:5
Truax          		Mean: 155.26 		Best: 941.16 		N:6
Randell        		Mean: 132.78 		Best: 941.16 		N:7
Toca           		Mean: 155.59 		Best: 941.16 		N:6
Church         		Mean: 230.05 		Best: 924.22 		N:4
Lockridge      		Mean: 154.01 		Best: 920.0 		N:6
Savage         		Mean: 230.85 		Best: 919.74 		N:4
Thurmond       		Mean: 132.04 		Best: 919.46 		N:7
Smith          		Mean: 308.53 		Best: 915.93 		N:3
Mercado        		Mean: 181.62 		Best: 909.24 		N:5

########## REPORT GEN: 28 ##########
SPECIES: 
Allen          		Mean: 103.91 		Best: 948.91 		N:9
Wheeler        		Mean: 186.23 		Best: 941.16 		N:5
Atkins         		Mean: 94.96 		Best: 941.16 		N:10
Savage         		Mean: 185.47 		Best: 941.16 		N:5
Truax          		Mean: 154.42 		Best: 941.16 		N:6
Randell        		Mean: 235.46 		Best: 941.16 		N:4
Church         		Mean: 134.31 		Best: 941.16 		N:7
Toca           		Mean: 131.52 		Best: 924.22 		N:7
Smith          		Mean: 185.27 		Best: 920.0 		N:5
Lockridge      		Mean: 309.27 		Best: 919.91 		N:3
Savage         		Mean: 131.86 		Best: 919.95 		N:7
Thurmond       		Mean: 103.17 		Best: 919.46 		N:9
Robinson       		Mean: 305.75 		Best: 914.55 		N:3
Mercado        		Mean: 129.7 		Best: 909.24 		N:7

########## REPORT GEN: 29 ##########
SPECIES: 
Randell        		Mean: 132.49 		Best: 941.16 		N:7
Toca           		Mean: 312.22 		Best: 941.16 		N:3
Robinson       		Mean: 132.87 		Best: 941.16 		N:7
Wheeler        		Mean: 133.03 		Best: 941.16 		N:7
Atkins         		Mean: 155.48 		Best: 941.16 		N:6
Savage         		Mean: 132.99 		Best: 941.16 		N:7
Truax          		Mean: 116.46 		Best: 941.16 		N:8
Church         		Mean: 184.11 		Best: 920.47 		N:5
Thurmond       		Mean: 154.92 		Best: 920.0 		N:6
Smith          		Mean: 132.87 		Best: 919.91 		N:7
Allen          		Mean: 230.6 		Best: 919.74 		N:4
Savage         		Mean: 185.18 		Best: 919.61 		N:5
Lockridge      		Mean: 229.03 		Best: 915.87 		N:4
Mercado        		Mean: 181.93 		Best: 909.24 		N:5

########## REPORT GEN: 30 ##########
SPECIES: 
Allen          		Mean: 77.43 		Best: 948.91 		N:12
Robinson       		Mean: 186.96 		Best: 941.16 		N:5
Wheeler        		Mean: 312.92 		Best: 941.16 		N:3
Toca           		Mean: 117.05 		Best: 941.16 		N:8
Truax          		Mean: 115.09 		Best: 941.16 		N:8
Tompkins       		Mean: 318.51 		Best: 941.16 		N:3
Smith          		Mean: 153.7 		Best: 920.0 		N:6
Lockridge      		Mean: 92.93 		Best: 920.0 		N:10
Thurmond       		Mean: 309.08 		Best: 919.91 		N:3
Savage         		Mean: 184.81 		Best: 919.74 		N:5
Church         		Mean: 130.87 		Best: 914.58 		N:7
Atkins         		Mean: 228.79 		Best: 914.47 		N:4
Mercado        		Mean: 130.16 		Best: 909.24 		N:7
Randell        		Mean: 181.47 		Best: 901.52 		N:5

########## REPORT GEN: 31 ##########
SPECIES: 
Savage         		Mean: 186.22 		Best: 948.91 		N:5
Allen          		Mean: 103.5 		Best: 941.16 		N:9
Wheeler        		Mean: 312.29 		Best: 941.16 		N:3
Toca           		Mean: 132.79 		Best: 941.16 		N:7
Church         		Mean: 117.23 		Best: 941.16 		N:8
Tompkins       		Mean: 138.27 		Best: 941.16 		N:7
Atkins         		Mean: 117.04 		Best: 941.16 		N:8
Smith          		Mean: 185.21 		Best: 920.0 		N:5
Lockridge      		Mean: 102.69 		Best: 920.0 		N:9
Thurmond       		Mean: 308.72 		Best: 919.91 		N:3
Robinson       		Mean: 228.82 		Best: 914.25 		N:4
Mercado        		Mean: 182.33 		Best: 909.24 		N:5
Randell        		Mean: 181.04 		Best: 901.52 		N:5
Truax          		Mean: 226.55 		Best: 901.52 		N:4

########## REPORT GEN: 32 ##########
SPECIES: 
Savage         		Mean: 103.83 		Best: 948.91 		N:9
Wheeler        		Mean: 186.54 		Best: 941.16 		N:5
Toca           		Mean: 92.88 		Best: 941.16 		N:10
Atkins         		Mean: 312.63 		Best: 941.16 		N:3
Allen          		Mean: 189.14 		Best: 941.16 		N:5
Church         		Mean: 234.8 		Best: 941.16 		N:4
Robinson       		Mean: 156.8 		Best: 941.16 		N:6
Truax          		Mean: 101.65 		Best: 941.16 		N:9
Smith          		Mean: 132.56 		Best: 920.0 		N:7
Thurmond       		Mean: 186.17 		Best: 920.0 		N:5
Lockridge      		Mean: 184.93 		Best: 919.91 		N:5
Mercado        		Mean: 130.05 		Best: 909.24 		N:7
Randell        		Mean: 129.56 		Best: 901.52 		N:7

########## REPORT GEN: 33 ##########
SPECIES: 
Savage         		Mean: 132.92 		Best: 948.91 		N:7
Atkins         		Mean: 84.62 		Best: 941.16 		N:11
Robinson       		Mean: 132.76 		Best: 941.16 		N:7
Wheeler        		Mean: 85.43 		Best: 941.16 		N:11
Toca           		Mean: 472.82 		Best: 941.16 		N:2
Church         		Mean: 155.57 		Best: 941.16 		N:6
Lockridge      		Mean: 84.3 		Best: 920.0 		N:11
Smith          		Mean: 116.08 		Best: 920.0 		N:8
Thurmond       		Mean: 308.74 		Best: 918.45 		N:3
Allen          		Mean: 306.14 		Best: 914.57 		N:3
Mercado        		Mean: 151.98 		Best: 909.24 		N:6
Randell        		Mean: 181.14 		Best: 901.52 		N:5
Truax          		Mean: 227.0 		Best: 901.52 		N:4

########## REPORT GEN: 34 ##########
SPECIES: 
Savage         		Mean: 233.95 		Best: 948.91 		N:4
Toca           		Mean: 186.25 		Best: 941.16 		N:5
Allen          		Mean: 134.01 		Best: 941.16 		N:7
Robinson       		Mean: 116.26 		Best: 941.16 		N:8
Patrick        		Mean: 470.58 		Best: 941.16 		N:2
Thurmond       		Mean: 185.98 		Best: 920.0 		N:5
Atkins         		Mean: 306.4 		Best: 914.57 		N:3
Church         		Mean: 307.98 		Best: 916.94 		N:3
Smith          		Mean: 153.54 		Best: 915.87 		N:6
Lockridge      		Mean: 230.54 		Best: 915.87 		N:4
Mercado        		Mean: 228.22 		Best: 909.24 		N:4
Truax          		Mean: 113.29 		Best: 901.52 		N:8
Randell        		Mean: 302.66 		Best: 901.52 		N:3

########## REPORT GEN: 35 ##########
SPECIES: 
Savage         		Mean: 188.25 		Best: 948.91 		N:5
Robinson       		Mean: 135.0 		Best: 941.16 		N:7
Patrick        		Mean: 235.78 		Best: 941.16 		N:4
Priddy         		Mean: 312.01 		Best: 941.16 		N:3
Lockridge      		Mean: 153.62 		Best: 920.0 		N:6
