########## REPORT GEN: 2 ##########
SPECIES: 
Hillard        		Mean: 119.16 		Best: 938.56 		N:8
Tice           		Mean: 227.87 		Best: 910.03 		N:4
Desrochers     		Mean: 130.79 		Best: 909.9 		N:7
Wilson         		Mean: 227.73 		Best: 905.84 		N:4

########## REPORT GEN: 22 ##########
SPECIES: 
Davis          		Mean: 153.41 		Best: 946.3 		N:6
Mccormick      		Mean: 183.9 		Best: 946.3 		N:5
Chinn          		Mean: 70.24 		Best: 944.78 		N:13
Anderson       		Mean: 185.38 		Best: 940.89 		N:5
Allen          		Mean: 155.69 		Best: 940.15 		N:6
Harris         		Mean: 153.07 		Best: 940.15 		N:6
Mcclain        		Mean: 185.25 		Best: 939.4 		N:5
Preston        		Mean: 184.8 		Best: 938.56 		N:5
Hope           		Mean: 305.06 		Best: 922.0 		N:3
Tice           		Mean: 305.55 		Best: 916.81 		N:3
Wilson         		Mean: 229.02 		Best: 915.88 		N:4
Santana        		Mean: 101.52 		Best: 910.03 		N:9
Desrochers     		Mean: 151.74 		Best: 907.8 		N:6
Smith          		Mean: 128.21 		Best: 906.03 		N:7

########## REPORT GEN: 23 ##########
SPECIES: 
Anderson       		Mean: 153.77 		Best: 946.3 		N:6
Harris         		Mean: 77.16 		Best: 946.3 		N:12
Hope           		Mean: 102.06 		Best: 946.3 		N:9
Desrochers     		Mean: 103.4 		Best: 946.3 		N:9
Chinn          		Mean: 91.51 		Best: 940.89 		N:10
Davis          		Mean: 186.8 		Best: 940.15 		N:5
Wilson         		Mean: 153.09 		Best: 938.56 		N:6
Allen          		Mean: 306.9 		Best: 916.81 		N:3
Mcclain        		Mean: 152.09 		Best: 915.88 		N:6
Santana        		Mean: 113.15 		Best: 912.93 		N:8
Mccormick      		Mean: 180.46 		Best: 912.66 		N:5
Preston        		Mean: 455.24 		Best: 910.03 		N:2
Tice           		Mean: 454.21 		Best: 906.83 		N:2
Smith          		Mean: 149.98 		Best: 907.02 		N:6

########## REPORT GEN: 24 ##########
SPECIES: 
Anderson       		Mean: 235.98 		Best: 946.3 		N:4
Wilson         		Mean: 306.83 		Best: 946.3 		N:3
Mccormick      		Mean: 76.43 		Best: 946.3 		N:12
Davis          		Mean: 236.24 		Best: 940.89 		N:4
Allen          		Mean: 153.47 		Best: 940.89 		N:6
Mcclain        		Mean: 309.43 		Best: 939.4 		N:3
Desrochers     		Mean: 153.26 		Best: 937.23 		N:6
Harris         		Mean: 153.02 		Best: 919.71 		N:6
Preston        		Mean: 114.89 		Best: 919.71 		N:8
Chinn          		Mean: 305.41 		Best: 917.18 		N:3
Tice           		Mean: 182.89 		Best: 915.88 		N:5
Smith          		Mean: 227.85 		Best: 912.4 		N:4
Hope           		Mean: 225.14 		Best: 902.75 		N:4

########## REPORT GEN: 25 ##########
SPECIES: 
Wilson         		Mean: 233.37 		Best: 946.3 		N:4
Desrochers     		Mean: 153.65 		Best: 946.3 		N:6
Chinn          		Mean: 116.19 		Best: 946.3 		N:8
Tice           		Mean: 102.78 		Best: 946.3 		N:9
Davis          		Mean: 314.09 		Best: 940.89 		N:3
Santana        		Mean: 184.14 		Best: 938.56 		N:5
Anderson       		Mean: 464.96 		Best: 928.47 		N:2
Harris         		Mean: 152.25 		Best: 918.76 		N:6
Allen          		Mean: 130.68 		Best: 912.9 		N:7
Preston        		Mean: 228.6 		Best: 912.53 		N:4
Smith          		Mean: 182.26 		Best: 912.53 		N:5
Mccormick      		Mean: 299.1 		Best: 909.2 		N:3
Mcclain        		Mean: 223.78 		Best: 906.29 		N:4
Hope           		Mean: 180.46 		Best: 897.86 		N:5

########## REPORT GEN: 26 ##########
SPECIES: 
Davis          		Mean: 132.46 		Best: 946.3 		N:7
Harris         		Mean: 231.7 		Best: 946.3 		N:4
Smith          		Mean: 230.23 		Best: 946.3 		N:4
Hope           		Mean: 102.89 		Best: 946.3 		N:9
Allen          		Mean: 132.91 		Best: 940.89 		N:7
Anderson       		Mean: 102.49 		Best: 938.56 		N:9
Mcclain        		Mean: 226.47 		Best: 929.28 		N:4
Wilson         		Mean: 131.19 		Best: 928.47 		N:7
Santana        		Mean: 101.09 		Best: 921.64 		N:9
Preston        		Mean: 181.64 		Best: 920.0 		N:5
Chinn          		Mean: 304.69 		Best: 911.45 		N:3
Mccormick      		Mean: 179.61 		Best: 909.2 		N:5
Desrochers     		Mean: 450.58 		Best: 905.89 		N:2
Tice           		Mean: 448.98 		Best: 897.86 		N:2

########## REPORT GEN: 27 ##########
SPECIES: 
Harris         		Mean: 154.61 		Best: 946.3 		N:6
Preston        		Mean: 229.96 		Best: 946.3 		N:4
Chinn          		Mean: 131.29 		Best: 946.3 		N:7
Tice           		Mean: 185.07 		Best: 946.3 		N:5
Hope           		Mean: 102.15 		Best: 940.89 		N:9
Desrochers     		Mean: 466.4 		Best: 940.89 		N:2
Santana        		Mean: 82.75 		Best: 929.28 		N:11
Mcclain        		Mean: 150.37 		Best: 919.08 		N:6
Davis          		Mean: 152.16 		Best: 912.9 		N:6
Smith          		Mean: 181.28 		Best: 909.62 		N:5
Allen          		Mean: 302.64 		Best: 907.69 		N:3
Mccormick      		Mean: 298.77 		Best: 906.29 		N:3
Wilson         		Mean: 227.94 		Best: 905.89 		N:4

########## REPORT GEN: 28 ##########
SPECIES: 
Harris         		Mean: 232.13 		Best: 946.3 		N:4
Tice           		Mean: 131.0 		Best: 946.3 		N:7
Desrochers     		Mean: 229.5 		Best: 946.3 		N:4
Allen          		Mean: 309.18 		Best: 946.3 		N:3
Wilson         		Mean: 84.63 		Best: 946.3 		N:11
Preston        		Mean: 184.72 		Best: 940.89 		N:5
Anderson       		Mean: 152.6 		Best: 940.89 		N:6
Smith          		Mean: 130.82 		Best: 919.08 		N:7
Mcclain        		Mean: 299.42 		Best: 914.3 		N:3
Chinn          		Mean: 304.75 		Best: 907.69 		N:3
Santana        		Mean: 449.22 		Best: 906.03 		N:2
Davis          		Mean: 180.33 		Best: 900.25 		N:5
Mccormick      		Mean: 222.44 		Best: 888.59 		N:4

########## REPORT GEN: 29 ##########
SPECIES: 
Harris         		Mean: 186.4 		Best: 946.3 		N:5
Desrochers     		Mean: 230.92 		Best: 946.3 		N:4
Allen          		Mean: 115.99 		Best: 946.3 		N:8
Wilson         		Mean: 182.37 		Best: 946.3 		N:5
Preston        		Mean: 115.68 		Best: 946.3 		N:8
Tice           		Mean: 229.96 		Best: 940.89 		N:4
Santana        		Mean: 184.25 		Best: 938.56 		N:5
Mcclain        		Mean: 227.68 		Best: 922.04 		N:4
Smith          		Mean: 228.5 		Best: 919.08 		N:4
Davis          		Mean: 180.92 		Best: 914.3 		N:5
Hope           		Mean: 151.09 		Best: 913.45 		N:6
Anderson       		Mean: 304.95 		Best: 912.53 		N:3
Mccormick      		Mean: 301.59 		Best: 907.02 		N:3

########## REPORT GEN: 30 ##########
SPECIES: 
Harris         		Mean: 187.62 		Best: 946.3 		N:5
Tice           		Mean: 154.22 		Best: 946.3 		N:6
Anderson       		Mean: 92.61 		Best: 946.3 		N:10
Santana        		Mean: 130.88 		Best: 938.56 		N:7
Davis          		Mean: 227.45 		Best: 922.57 		N:4
Allen          		Mean: 91.41 		Best: 922.41 		N:10
Mcclain        		Mean: 225.97 		Best: 922.04 		N:4
Preston        		Mean: 130.68 		Best: 919.08 		N:7
Desrochers     		Mean: 129.34 		Best: 914.3 		N:7
Wilson         		Mean: 228.75 		Best: 913.5 		N:4
Hope           		Mean: 182.83 		Best: 912.53 		N:5
Smith          		Mean: 100.6 		Best: 912.13 		N:9
Mccormick      		Mean: 182.25 		Best: 907.8 		N:5

########## REPORT GEN: 31 ##########
SPECIES: 
Tice           		Mean: 115.04 		Best: 946.3 		N:8
Anderson       		Mean: 92.35 		Best: 946.3 		N:10
Smith          		Mean: 102.29 		Best: 946.3 		N:9
Harris         		Mean: 153.07 		Best: 946.3 		N:6
Hope           		Mean: 114.84 		Best: 938.56 		N:8
Wilson         		Mean: 115.1 		Best: 923.79 		N:8
Mcclain        		Mean: 91.1 		Best: 922.57 		N:10
Allen          		Mean: 90.6 		Best: 919.08 		N:10
Preston        		Mean: 230.17 		Best: 914.17 		N:4
Desrochers     		Mean: 181.0 		Best: 913.45 		N:5
Davis          		Mean: 304.85 		Best: 907.31 		N:3
Santana        		Mean: 179.39 		Best: 900.25 		N:5
Mccormick      		Mean: 449.45 		Best: 894.13 		N:2

########## REPORT GEN: 32 ##########
SPECIES: 
Tice           		Mean: 76.6 		Best: 946.3 		N:12
Desrochers     		Mean: 153.43 		Best: 946.3 		N:6
Santana        		Mean: 132.04 		Best: 946.3 		N:7
Hope           		Mean: 132.4 		Best: 946.3 		N:7
Mcclain        		Mean: 182.0 		Best: 923.79 		N:5
Anderson       		Mean: 454.79 		Best: 923.34 		N:2
Allen          		Mean: 129.33 		Best: 922.57 		N:7
Davis          		Mean: 130.18 		Best: 921.02 		N:7
Mccormick      		Mean: 181.33 		Best: 917.22 		N:5
Harris         		Mean: 152.12 		Best: 914.17 		N:6
Smith          		Mean: 458.11 		Best: 909.75 		N:2
Wilson         		Mean: 91.54 		Best: 909.75 		N:10

########## REPORT GEN: 33 ##########
SPECIES: 
Tice           		Mean: 183.45 		Best: 946.3 		N:5
Hope           		Mean: 152.47 		Best: 946.3 		N:6
Desrochers     		Mean: 114.51 		Best: 946.3 		N:8
Mccormick      		Mean: 183.84 		Best: 937.76 		N:5
Santana        		Mean: 182.91 		Best: 923.79 		N:5
Anderson       		Mean: 101.42 		Best: 923.34 		N:9
Allen          		Mean: 227.96 		Best: 923.34 		N:4
Wilson         		Mean: 182.96 		Best: 923.34 		N:5
Harris         		Mean: 129.74 		Best: 922.57 		N:7
Mcclain        		Mean: 226.76 		Best: 917.22 		N:4
Smith          		Mean: 183.15 		Best: 914.17 		N:5
Davis          		Mean: 181.31 		Best: 907.31 		N:5

########## REPORT GEN: 34 ##########
SPECIES: 
Desrochers     		Mean: 152.01 		Best: 946.3 		N:6
Santana        		Mean: 76.48 		Best: 946.3 		N:12
Smith          		Mean: 102.34 		Best: 946.3 		N:9
Hope           		Mean: 131.12 		Best: 937.76 		N:7
Anderson       		Mean: 101.86 		Best: 923.79 		N:9
Harris         		Mean: 91.13 		Best: 923.34 		N:10
Mccormick      		Mean: 150.55 		Best: 922.57 		N:6
Mcclain        		Mean: 129.89 		Best: 917.22 		N:7
Tice           		Mean: 181.24 		Best: 907.8 		N:5
Wilson         		Mean: 225.27 		Best: 906.91 		N:4
Allen          		Mean: 151.01 		Best: 904.73 		N:6
Davis          		Mean: 128.73 		Best: 900.25 		N:7

########## REPORT GEN: 35 ##########
SPECIES: 
Hope           		Mean: 230.55 		Best: 946.3 		N:4
Mccormick      		Mean: 130.45 		Best: 946.3 		N:7
Wilson         		Mean: 91.42 		Best: 946.3 		N:10
Desrochers     		Mean: 227.72 		Best: 937.76 		N:4
Anderson       		Mean: 113.52 		Best: 930.14 		N:8
Davis          		Mean: 90.19 		Best: 923.46 		N:10
Smith          		Mean: 182.61 		Best: 923.34 		N:5
Santana        		Mean: 180.2 		Best: 922.57 		N:5
Tice           		Mean: 100.65 		Best: 915.18 		N:9
Mcclain        		Mean: 82.42 		Best: 912.5 		N:11
Allen          		Mean: 75.76 		Best: 910.23 		N:12
