########## REPORT GEN: 2 ##########
SPECIES: 
Jones          		Mean: 62.76 		Best: 950.66 		N:16
Cutts          		Mean: 136.56 		Best: 938.47 		N:7
Hill           		Mean: 315.71 		Best: 934.1 		N:3
Baylor         		Mean: 236.97 		Best: 933.51 		N:4
Kimball        		Mean: 308.67 		Best: 931.27 		N:3
Meyers         		Mean: 311.37 		Best: 931.27 		N:3
Payne          		Mean: 134.73 		Best: 933.95 		N:7
Jackson        		Mean: 469.71 		Best: 924.79 		N:2
Ratcliff       		Mean: 468.33 		Best: 920.54 		N:2

########## REPORT GEN: 12 ##########
SPECIES: 
Hopper         		Mean: 188.06 		Best: 960.38 		N:5
Gallardo       		Mean: 136.45 		Best: 951.08 		N:7
Dunlap         		Mean: 157.97 		Best: 951.08 		N:6
Payne          		Mean: 159.92 		Best: 951.07 		N:6
Ratcliff       		Mean: 158.39 		Best: 951.06 		N:6
Hill           		Mean: 476.69 		Best: 950.66 		N:2
Kimball        		Mean: 480.48 		Best: 949.22 		N:2
Fairbanks      		Mean: 231.83 		Best: 939.89 		N:4
Cutts          		Mean: 118.12 		Best: 939.89 		N:8
Schott         		Mean: 158.49 		Best: 939.05 		N:6
Fox            		Mean: 135.07 		Best: 938.47 		N:7
Baylor         		Mean: 189.42 		Best: 938.47 		N:5
Jackson        		Mean: 134.73 		Best: 933.84 		N:7
Mccartney      		Mean: 136.69 		Best: 939.89 		N:7
Ledesma        		Mean: 156.82 		Best: 932.32 		N:6
Jones          		Mean: 233.97 		Best: 930.09 		N:4
Copeland       		Mean: 463.84 		Best: 930.09 		N:2
Meyers         		Mean: 104.55 		Best: 930.09 		N:9

########## REPORT GEN: 13 ##########
SPECIES: 
Fox            		Mean: 119.33 		Best: 951.08 		N:8
Fairbanks      		Mean: 190.65 		Best: 951.08 		N:5
Cutts          		Mean: 159.09 		Best: 950.66 		N:6
Baylor         		Mean: 190.2 		Best: 950.66 		N:5
Jones          		Mean: 134.41 		Best: 950.66 		N:7
Meyers         		Mean: 135.67 		Best: 950.66 		N:7
Ratcliff       		Mean: 134.67 		Best: 950.66 		N:7
Hill           		Mean: 135.09 		Best: 949.22 		N:7
Jackson        		Mean: 236.38 		Best: 949.22 		N:4
Mccartney      		Mean: 237.84 		Best: 951.08 		N:4
Gallardo       		Mean: 311.16 		Best: 939.05 		N:3
Payne          		Mean: 234.29 		Best: 937.55 		N:4
Jackson        		Mean: 105.24 		Best: 937.55 		N:9
Copeland       		Mean: 234.69 		Best: 933.84 		N:4
Hopper         		Mean: 186.99 		Best: 933.51 		N:5
Kimball        		Mean: 155.03 		Best: 930.09 		N:6
Schott         		Mean: 311.36 		Best: 927.26 		N:3
Dunlap         		Mean: 306.03 		Best: 918.62 		N:3
Ledesma        		Mean: 304.42 		Best: 910.43 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Copeland       		Mean: 189.27 		Best: 968.04 		N:5
Dunlap         		Mean: 158.97 		Best: 960.38 		N:6
Fairbanks      		Mean: 103.04 		Best: 951.07 		N:9
Hill           		Mean: 134.54 		Best: 950.66 		N:7
Mccartney      		Mean: 156.17 		Best: 950.66 		N:6
Jackson        		Mean: 478.71 		Best: 949.22 		N:2
Payne          		Mean: 237.54 		Best: 949.22 		N:4
Jackson        		Mean: 237.0 		Best: 950.66 		N:4
Kimball        		Mean: 136.0 		Best: 950.66 		N:7
Schott         		Mean: 118.65 		Best: 950.66 		N:8
Baylor         		Mean: 185.62 		Best: 939.05 		N:5
Meyers         		Mean: 235.65 		Best: 938.47 		N:4
Hopper         		Mean: 116.5 		Best: 938.47 		N:8
Cutts          		Mean: 313.39 		Best: 937.55 		N:3
Ratcliff       		Mean: 236.29 		Best: 937.55 		N:4
Jones          		Mean: 186.05 		Best: 930.09 		N:5
Fox            		Mean: 231.46 		Best: 922.41 		N:4
Ledesma        		Mean: 154.43 		Best: 921.73 		N:6
Gallardo       		Mean: 306.69 		Best: 910.21 		N:3

########## REPORT GEN: 15 ##########
SPECIES: 
Hill           		Mean: 135.56 		Best: 968.04 		N:7
Meyers         		Mean: 135.5 		Best: 968.04 		N:7
Ratcliff       		Mean: 312.29 		Best: 968.04 		N:3
Kimball        		Mean: 134.64 		Best: 960.38 		N:7
Dunlap         		Mean: 232.74 		Best: 951.07 		N:4
Cutts          		Mean: 188.65 		Best: 951.07 		N:5
Gallardo       		Mean: 133.53 		Best: 950.66 		N:7
Copeland       		Mean: 117.38 		Best: 949.22 		N:8
Mccartney      		Mean: 157.28 		Best: 949.22 		N:6
Fox            		Mean: 156.96 		Best: 949.22 		N:6
Ledesma        		Mean: 187.64 		Best: 949.22 		N:5
Schott         		Mean: 187.16 		Best: 938.47 		N:5
Fairbanks      		Mean: 309.24 		Best: 933.51 		N:3
Jackson        		Mean: 232.86 		Best: 933.51 		N:4
Baylor         		Mean: 309.09 		Best: 933.51 		N:3
Jackson        		Mean: 188.19 		Best: 931.27 		N:5
Payne          		Mean: 155.74 		Best: 930.09 		N:6
Jones          		Mean: 233.86 		Best: 930.09 		N:4
Hopper         		Mean: 182.18 		Best: 925.53 		N:5

########## REPORT GEN: 16 ##########
SPECIES: 
Dunlap         		Mean: 85.04 		Best: 968.04 		N:11
Gallardo       		Mean: 188.16 		Best: 968.04 		N:5
Schott         		Mean: 237.71 		Best: 968.04 		N:4
Fairbanks      		Mean: 239.63 		Best: 968.04 		N:4
Jackson        		Mean: 133.42 		Best: 968.04 		N:7
Payne          		Mean: 185.22 		Best: 968.04 		N:5
Kimball        		Mean: 104.86 		Best: 960.38 		N:9
Fox            		Mean: 236.46 		Best: 960.38 		N:4
Ledesma        		Mean: 134.14 		Best: 951.07 		N:7
Baylor         		Mean: 189.29 		Best: 951.07 		N:5
Hill           		Mean: 471.89 		Best: 950.66 		N:2
Hopper         		Mean: 239.86 		Best: 951.07 		N:4
Copeland       		Mean: 94.27 		Best: 949.22 		N:10
Ratcliff       		Mean: 232.68 		Best: 938.47 		N:4
Mccartney      		Mean: 187.17 		Best: 931.27 		N:5
Meyers         		Mean: 92.54 		Best: 931.27 		N:10
Jones          		Mean: 460.92 		Best: 922.41 		N:2

########## REPORT GEN: 17 ##########
SPECIES: 
Schott         		Mean: 189.8 		Best: 968.04 		N:5
Payne          		Mean: 119.13 		Best: 968.04 		N:8
Fox            		Mean: 92.81 		Best: 968.04 		N:10
Hopper         		Mean: 95.43 		Best: 968.04 		N:10
Meyers         		Mean: 116.84 		Best: 968.04 		N:8
Cutts          		Mean: 231.05 		Best: 968.04 		N:4
Kimball        		Mean: 236.58 		Best: 960.38 		N:4
Baylor         		Mean: 158.44 		Best: 960.38 		N:6
Fairbanks      		Mean: 154.83 		Best: 951.07 		N:6
Jackson        		Mean: 189.49 		Best: 950.66 		N:5
Ratcliff       		Mean: 156.84 		Best: 949.22 		N:6
Jackson        		Mean: 117.19 		Best: 933.51 		N:8
Copeland       		Mean: 185.01 		Best: 933.51 		N:5
Dunlap         		Mean: 310.73 		Best: 931.27 		N:3
Mccartney      		Mean: 461.3 		Best: 931.27 		N:2
Hill           		Mean: 230.37 		Best: 928.42 		N:4
Jones          		Mean: 232.07 		Best: 926.25 		N:4

########## REPORT GEN: 18 ##########
SPECIES: 
Payne          		Mean: 158.78 		Best: 968.04 		N:6
Cutts          		Mean: 131.77 		Best: 968.04 		N:7
Ledesma        		Mean: 238.33 		Best: 968.04 		N:4
Ratcliff       		Mean: 157.0 		Best: 968.04 		N:6
Hill           		Mean: 156.7 		Best: 968.04 		N:6
Fox            		Mean: 238.91 		Best: 960.38 		N:4
Meyers         		Mean: 105.31 		Best: 960.38 		N:9
Jones          		Mean: 133.39 		Best: 951.07 		N:7
Jackson        		Mean: 134.4 		Best: 950.66 		N:7
Copeland       		Mean: 158.09 		Best: 951.07 		N:6
Dunlap         		Mean: 235.21 		Best: 950.66 		N:4
Kimball        		Mean: 103.48 		Best: 943.77 		N:9
Jackson        		Mean: 465.3 		Best: 938.04 		N:2
Fairbanks      		Mean: 182.96 		Best: 932.0 		N:5
Hopper         		Mean: 312.63 		Best: 931.27 		N:3
Schott         		Mean: 232.04 		Best: 931.27 		N:4
Baylor         		Mean: 184.51 		Best: 926.09 		N:5
Gallardo       		Mean: 458.85 		Best: 925.53 		N:2
Mccartney      		Mean: 228.1 		Best: 906.63 		N:4

########## REPORT GEN: 19 ##########
SPECIES: 
Hill           		Mean: 235.13 		Best: 968.04 		N:4
Fox            		Mean: 236.38 		Best: 968.04 		N:4
Jones          		Mean: 104.59 		Best: 968.04 		N:9
Copeland       		Mean: 237.87 		Best: 968.04 		N:4
Baylor         		Mean: 158.15 		Best: 968.04 		N:6
Dunlap         		Mean: 135.76 		Best: 967.95 		N:7
Ledesma        		Mean: 158.42 		Best: 949.22 		N:6
Ratcliff       		Mean: 234.99 		Best: 951.76 		N:4
Jackson        		Mean: 77.44 		Best: 949.22 		N:12
Mccartney      		Mean: 116.88 		Best: 949.22 		N:8
Jackson        		Mean: 158.22 		Best: 950.66 		N:6
Hopper         		Mean: 153.35 		Best: 943.77 		N:6
Schott         		Mean: 230.7 		Best: 938.04 		N:4
Fairbanks      		Mean: 103.25 		Best: 932.0 		N:9
Kimball        		Mean: 461.48 		Best: 925.83 		N:2
Gallardo       		Mean: 460.18 		Best: 925.83 		N:2
Meyers         		Mean: 458.77 		Best: 925.53 		N:2
Payne          		Mean: 184.07 		Best: 925.53 		N:5

########## REPORT GEN: 20 ##########
SPECIES: 
Copeland       		Mean: 238.02 		Best: 968.04 		N:4
Ratcliff       		Mean: 94.51 		Best: 968.04 		N:10
Jackson        		Mean: 191.96 		Best: 968.04 		N:5
Fairbanks      		Mean: 156.98 		Best: 968.04 		N:6
Kimball        		Mean: 71.76 		Best: 968.04 		N:13
Gallardo       		Mean: 313.21 		Best: 968.04 		N:3
Jones          		Mean: 188.28 		Best: 967.95 		N:5
Jackson        		Mean: 313.96 		Best: 960.38 		N:3
Payne          		Mean: 158.25 		Best: 951.76 		N:6
Fox            		Mean: 103.93 		Best: 949.27 		N:9
Hopper         		Mean: 187.72 		Best: 949.27 		N:5
Ledesma        		Mean: 134.67 		Best: 949.22 		N:7
Meyers         		Mean: 315.4 		Best: 949.01 		N:3
Schott         		Mean: 313.49 		Best: 944.12 		N:3
Baylor         		Mean: 231.45 		Best: 931.27 		N:4
Hill           		Mean: 153.43 		Best: 925.83 		N:6
Mccartney      		Mean: 306.61 		Best: 925.83 		N:3
Dunlap         		Mean: 153.58 		Best: 926.25 		N:6

########## REPORT GEN: 21 ##########
SPECIES: 
Kimball        		Mean: 315.93 		Best: 968.04 		N:3
Meyers         		Mean: 71.44 		Best: 968.04 		N:13
Schott         		Mean: 156.78 		Best: 968.04 		N:6
Dunlap         		Mean: 118.52 		Best: 968.04 		N:8
Jackson        		Mean: 133.91 		Best: 968.04 		N:7
Copeland       		Mean: 231.69 		Best: 960.38 		N:4
Jackson        		Mean: 93.16 		Best: 951.76 		N:10
Payne          		Mean: 157.13 		Best: 951.07 		N:6
Gallardo       		Mean: 157.66 		Best: 949.27 		N:6
Ledesma        		Mean: 104.21 		Best: 949.27 		N:9
Hill           		Mean: 188.99 		Best: 949.22 		N:5
Jones          		Mean: 236.05 		Best: 949.01 		N:4
Fairbanks      		Mean: 187.93 		Best: 944.12 		N:5
Baylor         		Mean: 185.69 		Best: 939.93 		N:5
Fox            		Mean: 308.92 		Best: 936.85 		N:3
Mccartney      		Mean: 461.49 		Best: 925.83 		N:2
Hopper         		Mean: 457.81 		Best: 925.83 		N:2
Ratcliff       		Mean: 450.65 		Best: 896.96 		N:2

########## REPORT GEN: 22 ##########
SPECIES: 
Meyers         		Mean: 318.52 		Best: 968.04 		N:3
Schott         		Mean: 156.02 		Best: 968.04 		N:6
Mccartney      		Mean: 104.4 		Best: 968.04 		N:9
Hopper         		Mean: 189.19 		Best: 968.04 		N:5
Ratcliff       		Mean: 317.42 		Best: 968.04 		N:3
Jackson        		Mean: 155.89 		Best: 968.04 		N:6
Gallardo       		Mean: 115.51 		Best: 968.04 		N:8
Ledesma        		Mean: 136.4 		Best: 968.04 		N:7
Baylor         		Mean: 314.59 		Best: 960.38 		N:3
Kimball        		Mean: 235.76 		Best: 960.38 		N:4
Hill           		Mean: 132.85 		Best: 960.38 		N:7
Fairbanks      		Mean: 94.01 		Best: 949.27 		N:10
Fox            		Mean: 104.07 		Best: 949.01 		N:9
Dunlap         		Mean: 132.37 		Best: 925.83 		N:7
Jackson        		Mean: 308.41 		Best: 925.83 		N:3
Copeland       		Mean: 182.89 		Best: 913.46 		N:5
Payne          		Mean: 227.32 		Best: 901.05 		N:4

########## REPORT GEN: 23 ##########
SPECIES: 
Mccartney      		Mean: 188.41 		Best: 968.04 		N:5
Hopper         		Mean: 157.56 		Best: 968.04 		N:6
Jackson        		Mean: 188.69 		Best: 968.04 		N:5
Fox            		Mean: 155.7 		Best: 968.04 		N:6
Payne          		Mean: 119.52 		Best: 968.04 		N:8
Gallardo       		Mean: 116.8 		Best: 968.04 		N:8
Ledesma        		Mean: 187.78 		Best: 967.95 		N:5
Jones          		Mean: 237.99 		Best: 967.95 		N:4
Schott         		Mean: 134.77 		Best: 960.38 		N:7
Jackson        		Mean: 134.08 		Best: 960.38 		N:7
Dunlap         		Mean: 234.02 		Best: 953.35 		N:4
Kimball        		Mean: 315.3 		Best: 949.27 		N:3
Hill           		Mean: 155.54 		Best: 944.12 		N:6
Fairbanks      		Mean: 132.38 		Best: 943.77 		N:7
Baylor         		Mean: 185.69 		Best: 936.98 		N:5
Meyers         		Mean: 185.89 		Best: 927.07 		N:5
Ratcliff       		Mean: 153.96 		Best: 926.25 		N:6
Copeland       		Mean: 303.49 		Best: 907.82 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Fox            		Mean: 484.01 		Best: 968.04 		N:2
Gallardo       		Mean: 318.87 		Best: 968.04 		N:3
Schott         		Mean: 158.75 		Best: 968.04 		N:6
Kimball        		Mean: 133.8 		Best: 968.04 		N:7
Baylor         		Mean: 190.97 		Best: 968.04 		N:5
Meyers         		Mean: 321.41 		Best: 968.04 		N:3
Jones          		Mean: 133.8 		Best: 968.04 		N:7
Jackson        		Mean: 103.56 		Best: 967.95 		N:9
Ledesma        		Mean: 133.05 		Best: 967.95 		N:7
Jackson        		Mean: 134.9 		Best: 967.95 		N:7
Hopper         		Mean: 155.55 		Best: 960.38 		N:6
Mccartney      		Mean: 155.38 		Best: 950.99 		N:6
Fairbanks      		Mean: 185.34 		Best: 943.77 		N:5
Copeland       		Mean: 232.39 		Best: 936.85 		N:4
Dunlap         		Mean: 115.48 		Best: 925.83 		N:8
Hill           		Mean: 186.36 		Best: 925.83 		N:5
Ratcliff       		Mean: 184.45 		Best: 922.48 		N:5
Payne          		Mean: 183.16 		Best: 914.0 		N:5

########## REPORT GEN: 25 ##########
SPECIES: 
Fox            		Mean: 154.75 		Best: 968.04 		N:6
Baylor         		Mean: 236.51 		Best: 968.04 		N:4
Ledesma        		Mean: 189.8 		Best: 968.04 		N:5
Payne          		Mean: 317.27 		Best: 968.04 		N:3
Hopper         		Mean: 187.55 		Best: 968.04 		N:5
Gallardo       		Mean: 118.95 		Best: 968.04 		N:8
Schott         		Mean: 135.74 		Best: 967.95 		N:7
Fairbanks      		Mean: 116.2 		Best: 960.38 		N:8
Jackson        		Mean: 187.67 		Best: 960.38 		N:5
Jackson        		Mean: 116.91 		Best: 960.38 		N:8
Mccartney      		Mean: 155.61 		Best: 944.42 		N:6
Dunlap         		Mean: 156.93 		Best: 943.77 		N:6
Ratcliff       		Mean: 154.78 		Best: 943.77 		N:6
Hill           		Mean: 153.16 		Best: 936.85 		N:6
Kimball        		Mean: 115.15 		Best: 934.47 		N:8
Meyers         		Mean: 184.41 		Best: 931.8 		N:5
Jones          		Mean: 306.27 		Best: 925.83 		N:3

########## REPORT GEN: 26 ##########
SPECIES: 
Jackson        		Mean: 316.34 		Best: 968.04 		N:3
Mccartney      		Mean: 117.89 		Best: 968.04 		N:8
Dunlap         		Mean: 116.86 		Best: 968.04 		N:8
Hill           		Mean: 157.33 		Best: 968.04 		N:6
Meyers         		Mean: 135.26 		Best: 968.04 		N:7
Ledesma        		Mean: 135.47 		Best: 967.95 		N:7
Payne          		Mean: 231.93 		Best: 967.95 		N:4
Fox            		Mean: 314.07 		Best: 960.38 		N:3
Hopper         		Mean: 133.4 		Best: 960.38 		N:7
Fairbanks      		Mean: 104.51 		Best: 960.38 		N:9
Jones          		Mean: 238.02 		Best: 960.38 		N:4
Baylor         		Mean: 474.84 		Best: 956.8 		N:2
Schott         		Mean: 115.71 		Best: 952.67 		N:8
Gallardo       		Mean: 155.32 		Best: 944.36 		N:6
Copeland       		Mean: 153.32 		Best: 944.12 		N:6
Jackson        		Mean: 463.23 		Best: 943.77 		N:2
Ratcliff       		Mean: 231.39 		Best: 931.8 		N:4
Kimball        		Mean: 153.81 		Best: 931.8 		N:6

########## REPORT GEN: 27 ##########
SPECIES: 
Jackson        		Mean: 186.59 		Best: 968.04 		N:5
Hill           		Mean: 93.19 		Best: 968.04 		N:10
Meyers         		Mean: 132.8 		Best: 968.04 		N:7
Baylor         		Mean: 156.5 		Best: 968.04 		N:6
Kimball        		Mean: 133.08 		Best: 968.04 		N:7
Schott         		Mean: 187.09 		Best: 967.95 		N:5
Ratcliff       		Mean: 134.88 		Best: 967.95 		N:7
Ledesma        		Mean: 131.82 		Best: 960.38 		N:7
Fox            		Mean: 188.77 		Best: 960.38 		N:5
Fairbanks      		Mean: 116.64 		Best: 960.38 		N:8
