########## REPORT GEN: 2 ##########
SPECIES: 
Welch          		Mean: 85.79 		Best: 911.79 		N:11
Chauvin        		Mean: 455.06 		Best: 905.08 		N:2
Aponte         		Mean: 452.76 		Best: 903.62 		N:2
Donovan        		Mean: 450.94 		Best: 901.88 		N:2

########## REPORT GEN: 4 ##########
SPECIES: 
Welch          		Mean: 308.26 		Best: 911.79 		N:3
Morrison       		Mean: 308.98 		Best: 911.79 		N:3
Estes          		Mean: 154.88 		Best: 911.79 		N:6
Young          		Mean: 309.72 		Best: 911.79 		N:3
Spann          		Mean: 186.29 		Best: 911.79 		N:5
Santiago       		Mean: 309.79 		Best: 911.79 		N:3
Magana         		Mean: 461.44 		Best: 911.79 		N:2
Hansen         		Mean: 229.95 		Best: 911.79 		N:4
Morris         		Mean: 458.77 		Best: 911.79 		N:2
Sutherland     		Mean: 309.82 		Best: 911.79 		N:3
Mcquaid        		Mean: 233.6 		Best: 911.79 		N:4
Bench          		Mean: 308.0 		Best: 911.79 		N:3
James          		Mean: 232.22 		Best: 911.79 		N:4
Perkins        		Mean: 306.51 		Best: 911.79 		N:3
Gerrity        		Mean: 455.89 		Best: 911.79 		N:2
Culp           		Mean: 186.58 		Best: 911.79 		N:5
Fenton         		Mean: 233.26 		Best: 911.79 		N:4
Colon          		Mean: 457.7 		Best: 911.79 		N:2
Barton         		Mean: 309.0 		Best: 911.79 		N:3
Heiliger       		Mean: 307.28 		Best: 911.79 		N:3
Rodriguez      		Mean: 308.31 		Best: 911.79 		N:3
Washington     		Mean: 308.76 		Best: 911.79 		N:3
Mullins        		Mean: 461.36 		Best: 911.79 		N:2
Anderson       		Mean: 305.91 		Best: 911.79 		N:3
Arnold         		Mean: 453.71 		Best: 905.84 		N:2
Hinkle         		Mean: 230.61 		Best: 911.79 		N:4
Campbell       		Mean: 458.87 		Best: 905.08 		N:2
Heald          		Mean: 227.59 		Best: 905.08 		N:4
Harvey         		Mean: 452.54 		Best: 905.08 		N:2
Sebald         		Mean: 152.43 		Best: 905.08 		N:6
Aponte         		Mean: 456.41 		Best: 905.08 		N:2
Peveler        		Mean: 231.66 		Best: 907.18 		N:4
Donovan        		Mean: 301.23 		Best: 901.88 		N:3

########## REPORT GEN: 5 ##########
SPECIES: 
Estes          		Mean: 306.85 		Best: 911.79 		N:3
Spann          		Mean: 231.94 		Best: 911.79 		N:4
Hansen         		Mean: 184.41 		Best: 911.79 		N:5
Morris         		Mean: 230.14 		Best: 911.79 		N:4
Sutherland     		Mean: 231.31 		Best: 911.79 		N:4
Mcquaid        		Mean: 457.66 		Best: 911.79 		N:2
Bench          		Mean: 230.17 		Best: 911.79 		N:4
Gerrity        		Mean: 303.63 		Best: 911.79 		N:3
Colon          		Mean: 229.02 		Best: 911.79 		N:4
Barton         		Mean: 185.4 		Best: 911.79 		N:5
Heiliger       		Mean: 154.83 		Best: 911.79 		N:6
Rodriguez      		Mean: 154.44 		Best: 911.79 		N:6
Washington     		Mean: 232.43 		Best: 911.79 		N:4
Anderson       		Mean: 115.65 		Best: 911.79 		N:8
Minor          		Mean: 455.89 		Best: 911.79 		N:2
Young          		Mean: 307.1 		Best: 911.79 		N:3
Arnold         		Mean: 182.84 		Best: 911.79 		N:5
Hinkle         		Mean: 182.69 		Best: 911.79 		N:5
Campbell       		Mean: 306.46 		Best: 911.79 		N:3
Harvey         		Mean: 459.31 		Best: 911.79 		N:2
Aponte         		Mean: 306.37 		Best: 909.81 		N:3
Santiago       		Mean: 457.52 		Best: 907.18 		N:2
Shepherd       		Mean: 116.09 		Best: 911.79 		N:8
Culp           		Mean: 454.21 		Best: 905.7 		N:2
Perkins        		Mean: 455.24 		Best: 905.68 		N:2
Heald          		Mean: 453.26 		Best: 905.08 		N:2
Sebald         		Mean: 181.38 		Best: 905.08 		N:5
Chauvin        		Mean: 150.92 		Best: 905.08 		N:6
Morrison       		Mean: 305.92 		Best: 905.7 		N:3
Donovan        		Mean: 226.18 		Best: 901.88 		N:4
Nichols        		Mean: 301.29 		Best: 901.33 		N:3

########## REPORT GEN: 6 ##########
SPECIES: 
Spann          		Mean: 93.35 		Best: 911.79 		N:10
Magana         		Mean: 454.39 		Best: 911.79 		N:2
Morris         		Mean: 457.55 		Best: 911.79 		N:2
Sutherland     		Mean: 306.44 		Best: 911.79 		N:3
Mcquaid        		Mean: 304.84 		Best: 911.79 		N:3
Bench          		Mean: 456.11 		Best: 911.79 		N:2
Gerrity        		Mean: 230.01 		Best: 911.79 		N:4
Colon          		Mean: 456.37 		Best: 911.79 		N:2
Heiliger       		Mean: 154.24 		Best: 911.79 		N:6
Rodriguez      		Mean: 230.02 		Best: 911.79 		N:4
Anderson       		Mean: 306.95 		Best: 911.79 		N:3
Minor          		Mean: 454.81 		Best: 911.79 		N:2
Young          		Mean: 133.04 		Best: 911.79 		N:7
Arnold         		Mean: 308.0 		Best: 911.79 		N:3
Campbell       		Mean: 232.03 		Best: 911.79 		N:4
Peveler        		Mean: 229.53 		Best: 911.79 		N:4
Perkins        		Mean: 133.18 		Best: 911.79 		N:7
Sebald         		Mean: 114.71 		Best: 911.79 		N:8
Morrison       		Mean: 458.52 		Best: 911.79 		N:2
Aponte         		Mean: 229.34 		Best: 909.81 		N:4
Hansen         		Mean: 459.22 		Best: 906.45 		N:2
Santiago       		Mean: 305.46 		Best: 907.18 		N:3
Culp           		Mean: 304.51 		Best: 905.7 		N:3
Washington     		Mean: 304.7 		Best: 905.08 		N:3
Harvey         		Mean: 455.06 		Best: 905.08 		N:2
Shepherd       		Mean: 458.62 		Best: 905.08 		N:2
Heald          		Mean: 226.51 		Best: 905.08 		N:4
Chauvin        		Mean: 453.17 		Best: 905.08 		N:2
Hinkle         		Mean: 453.21 		Best: 903.62 		N:2
Donovan        		Mean: 301.72 		Best: 901.88 		N:3
Nichols        		Mean: 226.74 		Best: 901.33 		N:4

########## REPORT GEN: 7 ##########
SPECIES: 
Estes          		Mean: 462.06 		Best: 911.79 		N:2
Spann          		Mean: 184.92 		Best: 911.79 		N:5
Magana         		Mean: 226.75 		Best: 911.79 		N:4
Morris         		Mean: 154.28 		Best: 911.79 		N:6
Sutherland     		Mean: 154.81 		Best: 911.79 		N:6
Mcquaid        		Mean: 455.16 		Best: 911.79 		N:2
Gerrity        		Mean: 131.88 		Best: 911.79 		N:7
Colon          		Mean: 228.64 		Best: 911.79 		N:4
Heiliger       		Mean: 229.98 		Best: 911.79 		N:4
Rodriguez      		Mean: 154.49 		Best: 911.79 		N:6
Minor          		Mean: 231.37 		Best: 911.79 		N:4
Arnold         		Mean: 184.63 		Best: 911.79 		N:5
Campbell       		Mean: 458.39 		Best: 911.79 		N:2
Morrison       		Mean: 115.76 		Best: 911.79 		N:8
Hansen         		Mean: 103.15 		Best: 911.79 		N:9
Santiago       		Mean: 460.13 		Best: 911.79 		N:2
Fisher         		Mean: 230.56 		Best: 911.79 		N:4
Hinkle         		Mean: 462.12 		Best: 911.79 		N:2
Culp           		Mean: 458.53 		Best: 906.45 		N:2
Peveler        		Mean: 455.29 		Best: 905.68 		N:2
Anderson       		Mean: 185.16 		Best: 906.45 		N:5
Harvey         		Mean: 228.02 		Best: 905.08 		N:4
Heald          		Mean: 453.73 		Best: 905.08 		N:2
Chauvin        		Mean: 301.69 		Best: 905.08 		N:3
Thompson       		Mean: 452.54 		Best: 905.08 		N:2
Mullins        		Mean: 226.21 		Best: 901.99 		N:4
Donovan        		Mean: 450.83 		Best: 901.66 		N:2
Washington     		Mean: 451.25 		Best: 901.33 		N:2
Nichols        		Mean: 452.78 		Best: 901.33 		N:2
Shepherd       		Mean: 153.43 		Best: 905.08 		N:6
Barnett        		Mean: 451.14 		Best: 901.09 		N:2

########## REPORT GEN: 8 ##########
SPECIES: 
Estes          		Mean: 308.32 		Best: 911.79 		N:3
Spann          		Mean: 115.98 		Best: 911.79 		N:8
Bench          		Mean: 305.69 		Best: 911.79 		N:3
Heiliger       		Mean: 460.64 		Best: 911.79 		N:2
Rodriguez      		Mean: 307.13 		Best: 911.79 		N:3
Minor          		Mean: 306.24 		Best: 911.79 		N:3
Young          		Mean: 231.76 		Best: 911.79 		N:4
Arnold         		Mean: 230.28 		Best: 911.79 		N:4
Sebald         		Mean: 115.47 		Best: 911.79 		N:8
Hinkle         		Mean: 84.03 		Best: 911.79 		N:11
Ward           		Mean: 132.36 		Best: 911.79 		N:7
Peveler        		Mean: 116.07 		Best: 911.79 		N:8
Beck           		Mean: 228.3 		Best: 911.79 		N:4
Aponte         		Mean: 454.9 		Best: 909.81 		N:2
Perkins        		Mean: 456.96 		Best: 908.98 		N:2
Gerrity        		Mean: 230.11 		Best: 907.18 		N:4
Sutherland     		Mean: 453.14 		Best: 906.29 		N:2
Thompson       		Mean: 226.48 		Best: 905.75 		N:4
Fisher         		Mean: 305.14 		Best: 905.7 		N:3
Johnson        		Mean: 454.22 		Best: 905.58 		N:2
Harvey         		Mean: 306.11 		Best: 905.48 		N:3
Heald          		Mean: 306.43 		Best: 905.08 		N:3
Chauvin        		Mean: 227.01 		Best: 905.08 		N:4
Mullins        		Mean: 301.99 		Best: 901.99 		N:3
Donovan        		Mean: 225.77 		Best: 901.66 		N:4
Morris         		Mean: 225.51 		Best: 901.33 		N:4
Nichols        		Mean: 450.67 		Best: 901.33 		N:2

########## REPORT GEN: 9 ##########
SPECIES: 
Johnson        		Mean: 230.66 		Best: 942.06 		N:4
Spann          		Mean: 459.38 		Best: 911.79 		N:2
Mcquaid        		Mean: 183.96 		Best: 911.79 		N:5
Bench          		Mean: 230.54 		Best: 911.79 		N:4
Young          		Mean: 307.33 		Best: 911.79 		N:3
Arnold         		Mean: 230.09 		Best: 911.79 		N:4
Sebald         		Mean: 154.57 		Best: 911.79 		N:6
Ward           		Mean: 115.19 		Best: 911.79 		N:8
Peveler        		Mean: 457.67 		Best: 911.79 		N:2
Beck           		Mean: 456.19 		Best: 911.79 		N:2
Perkins        		Mean: 230.52 		Best: 911.79 		N:4
Sutherland     		Mean: 458.9 		Best: 911.79 		N:2
Fisher         		Mean: 229.41 		Best: 911.79 		N:4
Campbell       		Mean: 230.84 		Best: 911.79 		N:4
Anderson       		Mean: 184.63 		Best: 911.79 		N:5
Morris         		Mean: 307.32 		Best: 911.79 		N:3
Aponte         		Mean: 227.71 		Best: 909.81 		N:4
Heiliger       		Mean: 459.97 		Best: 908.98 		N:2
Hansen         		Mean: 453.14 		Best: 906.29 		N:2
Santiago       		Mean: 184.8 		Best: 906.29 		N:5
Heald          		Mean: 457.55 		Best: 905.88 		N:2
Culp           		Mean: 455.14 		Best: 905.7 		N:2
Chauvin        		Mean: 456.46 		Best: 903.62 		N:2
Mullins        		Mean: 301.68 		Best: 901.99 		N:3
Donovan        		Mean: 450.83 		Best: 901.66 		N:2
Rodriguez      		Mean: 305.05 		Best: 901.88 		N:3
Nichols        		Mean: 225.63 		Best: 901.33 		N:4
Minor          		Mean: 227.26 		Best: 901.6 		N:4

########## REPORT GEN: 10 ##########
SPECIES: 
Johnson        		Mean: 232.47 		Best: 942.06 		N:4
Young          		Mean: 307.66 		Best: 911.79 		N:3
Sebald         		Mean: 229.87 		Best: 911.79 		N:4
Ward           		Mean: 184.05 		Best: 911.79 		N:5
Peveler        		Mean: 131.41 		Best: 911.79 		N:7
Beck           		Mean: 229.57 		Best: 911.79 		N:4
Perkins        		Mean: 461.71 		Best: 911.79 		N:2
Campbell       		Mean: 306.37 		Best: 911.79 		N:3
Anderson       		Mean: 115.54 		Best: 911.79 		N:8
Heiliger       		Mean: 306.37 		Best: 911.79 		N:3
Hansen         		Mean: 457.73 		Best: 911.79 		N:2
Estes          		Mean: 153.92 		Best: 911.79 		N:6
Rodriguez      		Mean: 229.58 		Best: 911.79 		N:4
Minor          		Mean: 230.39 		Best: 911.79 		N:4
Hinkle         		Mean: 131.78 		Best: 911.79 		N:7
Aponte         		Mean: 228.6 		Best: 911.19 		N:4
Culp           		Mean: 306.74 		Best: 905.88 		N:3
Arnold         		Mean: 152.84 		Best: 905.7 		N:6
Morris         		Mean: 305.5 		Best: 905.48 		N:3
Mcquaid        		Mean: 230.37 		Best: 905.88 		N:4
Spann          		Mean: 456.19 		Best: 901.88 		N:2
Donovan        		Mean: 225.41 		Best: 901.66 		N:4
Nichols        		Mean: 227.11 		Best: 901.33 		N:4
Thompson       		Mean: 303.81 		Best: 905.75 		N:3
Mullins        		Mean: 300.19 		Best: 900.62 		N:3

########## REPORT GEN: 11 ##########
SPECIES: 
Johnson        		Mean: 231.37 		Best: 942.06 		N:4
Perkins        		Mean: 102.75 		Best: 925.78 		N:9
Sebald         		Mean: 457.08 		Best: 911.79 		N:2
Peveler        		Mean: 102.82 		Best: 911.79 		N:9
Beck           		Mean: 456.39 		Best: 911.79 		N:2
Heiliger       		Mean: 115.41 		Best: 911.79 		N:8
Harvey         		Mean: 153.16 		Best: 911.79 		N:6
Rodriguez      		Mean: 184.14 		Best: 911.79 		N:5
Minor          		Mean: 131.51 		Best: 911.79 		N:7
Gerrity        		Mean: 153.38 		Best: 911.79 		N:6
Morris         		Mean: 76.98 		Best: 911.79 		N:12
Spann          		Mean: 307.08 		Best: 911.79 		N:3
Aponte         		Mean: 228.48 		Best: 911.19 		N:4
Bench          		Mean: 183.93 		Best: 905.88 		N:5
Anderson       		Mean: 458.12 		Best: 905.72 		N:2
Campbell       		Mean: 114.86 		Best: 905.75 		N:8
Hinkle         		Mean: 183.91 		Best: 905.7 		N:5
Santiago       		Mean: 455.12 		Best: 901.16 		N:2
Mullins        		Mean: 450.87 		Best: 900.56 		N:2
Donovan        		Mean: 303.18 		Best: 901.66 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
Johnson        		Mean: 308.81 		Best: 942.06 		N:3
Young          		Mean: 305.47 		Best: 911.79 		N:3
Sebald         		Mean: 153.65 		Best: 911.79 		N:6
Peveler        		Mean: 102.25 		Best: 911.79 		N:9
Beck           		Mean: 456.25 		Best: 911.79 		N:2
Heiliger       		Mean: 306.21 		Best: 911.79 		N:3
Harvey         		Mean: 459.41 		Best: 911.79 		N:2
Estes          		Mean: 456.89 		Best: 911.79 		N:2
Rodriguez      		Mean: 184.45 		Best: 911.79 		N:5
Mcquaid        		Mean: 184.03 		Best: 911.79 		N:5
Bench          		Mean: 304.33 		Best: 911.79 		N:3
Hansen         		Mean: 457.5 		Best: 911.79 		N:2
Santiago       		Mean: 152.55 		Best: 911.79 		N:6
Aponte         		Mean: 228.03 		Best: 910.66 		N:4
Campbell       		Mean: 458.34 		Best: 905.88 		N:2
Gerrity        		Mean: 183.04 		Best: 905.48 		N:5
Hinkle         		Mean: 304.52 		Best: 905.08 		N:3
Chauvin        		Mean: 304.51 		Best: 905.08 		N:3
Donovan        		Mean: 302.81 		Best: 905.08 		N:3
Thompson       		Mean: 454.75 		Best: 902.94 		N:2
Spann          		Mean: 304.06 		Best: 901.6 		N:3
Arnold         		Mean: 305.29 		Best: 905.72 		N:3
Nichols        		Mean: 451.27 		Best: 901.33 		N:2
Rudd           		Mean: 181.36 		Best: 901.66 		N:5
Minor          		Mean: 300.85 		Best: 900.62 		N:3

########## REPORT GEN: 13 ##########
SPECIES: 
Johnson        		Mean: 186.02 		Best: 942.06 		N:5
Jackson        		Mean: 462.89 		Best: 925.78 		N:2
Young          		Mean: 183.5 		Best: 911.79 		N:5
Sebald         		Mean: 229.74 		Best: 911.79 		N:4
Peveler        		Mean: 153.47 		Best: 911.79 		N:6
Beck           		Mean: 230.3 		Best: 911.79 		N:4
Heiliger       		Mean: 305.46 		Best: 911.79 		N:3
Rodriguez      		Mean: 306.66 		Best: 911.79 		N:3
Hansen         		Mean: 130.31 		Best: 911.79 		N:7
Santiago       		Mean: 153.53 		Best: 911.79 		N:6
Campbell       		Mean: 458.6 		Best: 911.79 		N:2
Gerrity        		Mean: 91.76 		Best: 911.79 		N:10
Spann          		Mean: 227.83 		Best: 911.79 		N:4
Nichols        		Mean: 301.77 		Best: 911.79 		N:3
Rittenhouse    		Mean: 455.59 		Best: 911.19 		N:2
Aponte         		Mean: 101.22 		Best: 910.66 		N:9
Harvey         		Mean: 131.53 		Best: 905.88 		N:7
Arnold         		Mean: 227.57 		Best: 905.63 		N:4
Thompson       		Mean: 455.62 		Best: 905.08 		N:2
Rudd           		Mean: 131.0 		Best: 905.08 		N:7
Chauvin        		Mean: 454.71 		Best: 904.74 		N:2
Mcquaid        		Mean: 304.27 		Best: 901.6 		N:3
Minor          		Mean: 450.23 		Best: 900.56 		N:2
Mullins        		Mean: 300.5 		Best: 900.62 		N:3
Donovan        		Mean: 450.25 		Best: 900.51 		N:2

########## REPORT GEN: 14 ##########
SPECIES: 
Johnson        		Mean: 309.68 		Best: 942.06 		N:3
Jackson        		Mean: 308.59 		Best: 925.78 		N:3
Young          		Mean: 185.15 		Best: 925.78 		N:5
Peveler        		Mean: 229.25 		Best: 911.79 		N:4
Heiliger       		Mean: 305.18 		Best: 911.79 		N:3
Estes          		Mean: 304.3 		Best: 911.79 		N:3
Bench          		Mean: 458.44 		Best: 911.79 		N:2
Hansen         		Mean: 152.74 		Best: 911.79 		N:6
Campbell       		Mean: 115.16 		Best: 911.79 		N:8
Gerrity        		Mean: 305.17 		Best: 911.79 		N:3
Nichols        		Mean: 150.6 		Best: 911.79 		N:6
Donovan        		Mean: 227.78 		Best: 911.79 		N:4
Tate           		Mean: 229.41 		Best: 911.79 		N:4
Rittenhouse    		Mean: 227.8 		Best: 911.19 		N:4
Harvey         		Mean: 454.08 		Best: 910.66 		N:2
Thompson       		Mean: 453.92 		Best: 910.66 		N:2
Hinkle         		Mean: 227.86 		Best: 910.66 		N:4
Rudd           		Mean: 131.18 		Best: 911.79 		N:7
Mcquaid        		Mean: 131.35 		Best: 906.37 		N:7
Santiago       		Mean: 153.23 		Best: 905.77 		N:6
Rodriguez      		Mean: 456.93 		Best: 905.72 		N:2
Arnold         		Mean: 229.11 		Best: 905.72 		N:4
Sebald         		Mean: 303.78 		Best: 904.74 		N:3
Spann          		Mean: 455.48 		Best: 904.74 		N:2
Minor          		Mean: 128.96 		Best: 900.58 		N:7
Aponte         		Mean: 300.75 		Best: 900.62 		N:3
Chauvin        		Mean: 450.51 		Best: 900.56 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Sebald         		Mean: 184.39 		Best: 942.06 		N:5
Johnson        		Mean: 155.05 		Best: 941.48 		N:6
Jackson        		Mean: 308.75 		Best: 925.78 		N:3
Tate           		Mean: 132.08 		Best: 925.78 		N:7
Mcquaid        		Mean: 154.48 		Best: 925.78 		N:6
Young          		Mean: 102.44 		Best: 911.79 		N:9
Peveler        		Mean: 131.35 		Best: 911.79 		N:7
Heiliger       		Mean: 304.99 		Best: 911.79 		N:3
Estes          		Mean: 305.13 		Best: 911.79 		N:3
Bench          		Mean: 102.31 		Best: 911.79 		N:9
Hansen         		Mean: 152.51 		Best: 911.79 		N:6
Nichols        		Mean: 453.75 		Best: 911.79 		N:2
Hinkle         		Mean: 115.05 		Best: 911.79 		N:8
Rodriguez      		Mean: 456.8 		Best: 911.79 		N:2
Arnold         		Mean: 184.48 		Best: 911.79 		N:5
Spann          		Mean: 183.43 		Best: 911.79 		N:5
Rittenhouse    		Mean: 182.24 		Best: 911.19 		N:5
Gerrity        		Mean: 101.88 		Best: 910.66 		N:9
Thompson       		Mean: 228.22 		Best: 910.66 		N:4
Mullins        		Mean: 303.1 		Best: 907.08 		N:3
Campbell       		Mean: 453.53 		Best: 905.79 		N:2
Rudd           		Mean: 304.28 		Best: 905.08 		N:3
Donovan        		Mean: 455.76 		Best: 904.74 		N:2
Santiago       		Mean: 304.25 		Best: 905.72 		N:3
Minor          		Mean: 225.72 		Best: 900.58 		N:4
Aponte         		Mean: 300.44 		Best: 900.56 		N:3

########## REPORT GEN: 16 ##########
SPECIES: 
Johnson        		Mean: 187.19 		Best: 942.06 		N:5
Jackson        		Mean: 308.74 		Best: 925.78 		N:3
Mcquaid        		Mean: 231.72 		Best: 925.78 		N:4
Donovan        		Mean: 153.83 		Best: 925.78 		N:6
Rodriguez      		Mean: 83.81 		Best: 918.37 		N:11
Sebald         		Mean: 304.46 		Best: 911.79 		N:3
Young          		Mean: 153.06 		Best: 911.79 		N:6
Heiliger       		Mean: 229.0 		Best: 911.79 		N:4
Estes          		Mean: 228.9 		Best: 911.79 		N:4
Hansen         		Mean: 228.03 		Best: 911.79 		N:4
Nichols        		Mean: 303.93 		Best: 911.79 		N:3
Gerrity        		Mean: 459.5 		Best: 911.79 		N:2
Campbell       		Mean: 306.15 		Best: 911.79 		N:3
Rudd           		Mean: 183.68 		Best: 911.79 		N:5
Rittenhouse    		Mean: 182.24 		Best: 911.19 		N:5
Spann          		Mean: 305.46 		Best: 910.66 		N:3
Thompson       		Mean: 227.88 		Best: 910.66 		N:4
Peveler        		Mean: 184.05 		Best: 911.79 		N:5
Mullins        		Mean: 151.14 		Best: 907.08 		N:6
Arnold         		Mean: 302.14 		Best: 905.72 		N:3
Santiago       		Mean: 456.15 		Best: 905.63 		N:2
Harvey         		Mean: 228.58 		Best: 910.66 		N:4
Wahlstrom      		Mean: 228.36 		Best: 905.08 		N:4
Tate           		Mean: 83.09 		Best: 903.49 		N:11
Minor          		Mean: 82.15 		Best: 900.58 		N:11
Aponte         		Mean: 150.38 		Best: 900.56 		N:6

########## REPORT GEN: 17 ##########
SPECIES: 
Johnson        		Mean: 310.72 		Best: 942.06 		N:3
Mcquaid        		Mean: 102.61 		Best: 942.06 		N:9
Estes          		Mean: 92.57 		Best: 942.06 		N:10
Campbell       		Mean: 92.27 		Best: 942.06 		N:10
Jackson        		Mean: 153.74 		Best: 925.78 		N:6
Sebald         		Mean: 116.27 		Best: 925.78 		N:8
Wahlstrom      		Mean: 154.12 		Best: 925.78 		N:6
Aponte         		Mean: 183.69 		Best: 925.78 		N:5
Mullins        		Mean: 130.64 		Best: 918.37 		N:7
Spann          		Mean: 182.71 		Best: 912.63 		N:5
Donovan        		Mean: 183.39 		Best: 911.79 		N:5
Young          		Mean: 304.87 		Best: 911.79 		N:3
Heiliger       		Mean: 76.7 		Best: 911.79 		N:12
Nichols        		Mean: 227.95 		Best: 911.79 		N:4
Rudd           		Mean: 91.92 		Best: 911.79 		N:10
Bench          		Mean: 304.45 		Best: 911.79 		N:3
Rittenhouse    		Mean: 182.33 		Best: 911.19 		N:5
Gerrity        		Mean: 151.79 		Best: 910.66 		N:6
Santiago       		Mean: 183.53 		Best: 911.79 		N:5
Hansen         		Mean: 228.18 		Best: 905.79 		N:4
Rodriguez      		Mean: 456.36 		Best: 905.72 		N:2
Tate           		Mean: 455.27 		Best: 904.32 		N:2
Parks          		Mean: 450.94 		Best: 900.41 		N:2
Minor          		Mean: 301.24 		Best: 900.44 		N:3

########## REPORT GEN: 18 ##########
SPECIES: 
Donovan        		Mean: 131.22 		Best: 942.06 		N:7
Tate           		Mean: 93.06 		Best: 942.06 		N:10
Mcquaid        		Mean: 184.86 		Best: 942.06 		N:5
Bench          		Mean: 153.53 		Best: 942.06 		N:6
Jackson        		Mean: 102.41 		Best: 925.78 		N:9
Sebald         		Mean: 152.36 		Best: 925.78 		N:6
Aponte         		Mean: 131.65 		Best: 925.78 		N:7
Young          		Mean: 304.78 		Best: 911.79 		N:3
Heiliger       		Mean: 152.67 		Best: 911.79 		N:6
Peveler        		Mean: 305.86 		Best: 911.79 		N:3
Hansen         		Mean: 305.33 		Best: 911.79 		N:3
Rittenhouse    		Mean: 227.97 		Best: 911.19 		N:4
Gerrity        		Mean: 227.35 		Best: 910.66 		N:4
Thompson       		Mean: 304.48 		Best: 910.66 		N:3
Santiago       		Mean: 114.69 		Best: 910.66 		N:8
Harvey         		Mean: 101.79 		Best: 910.66 		N:9
Arnold         		Mean: 305.02 		Best: 908.1 		N:3
Campbell       		Mean: 455.2 		Best: 905.68 		N:2
Nichols        		Mean: 152.15 		Best: 911.79 		N:6
Parks          		Mean: 452.43 		Best: 900.55 		N:2
Mullins        		Mean: 225.91 		Best: 900.33 		N:4

########## REPORT GEN: 19 ##########
SPECIES: 
Rudd           		Mean: 309.16 		Best: 942.06 		N:3
Thompson       		Mean: 465.19 		Best: 942.06 		N:2
