########## REPORT GEN: 2 ##########
SPECIES: 
Rodriguez      		Mean: 160.97 		Best: 932.88 		N:6
Kleypas        		Mean: 135.85 		Best: 928.24 		N:7
Mathews        		Mean: 161.64 		Best: 928.24 		N:6
Hendley        		Mean: 188.51 		Best: 928.24 		N:5
Bass           		Mean: 194.33 		Best: 931.77 		N:5
Brown          		Mean: 139.45 		Best: 933.55 		N:7
Cook           		Mean: 108.23 		Best: 932.88 		N:9
Mack           		Mean: 318.47 		Best: 928.24 		N:3
Canfield       		Mean: 197.61 		Best: 928.24 		N:5
Solis          		Mean: 162.74 		Best: 930.72 		N:6
Brown          		Mean: 475.54 		Best: 925.85 		N:2
Rodriguez      		Mean: 235.72 		Best: 928.24 		N:4

########## REPORT GEN: 5 ##########
SPECIES: 
Canfield       		Mean: 195.47 		Best: 938.72 		N:5
Fields         		Mean: 478.6 		Best: 932.88 		N:2
Fleagle        		Mean: 161.44 		Best: 931.77 		N:6
Brown          		Mean: 119.96 		Best: 931.77 		N:8
Rodriguez      		Mean: 243.9 		Best: 929.51 		N:4
Cunningham     		Mean: 108.05 		Best: 928.8 		N:9
Foster         		Mean: 158.65 		Best: 928.24 		N:6
Morton         		Mean: 236.44 		Best: 928.24 		N:4
Kleypas        		Mean: 322.14 		Best: 928.24 		N:3
Mathews        		Mean: 140.0 		Best: 930.82 		N:7
Brown          		Mean: 320.43 		Best: 928.24 		N:3
Cook           		Mean: 238.66 		Best: 928.24 		N:4
Mack           		Mean: 163.37 		Best: 928.24 		N:6
Sallade        		Mean: 98.05 		Best: 931.77 		N:10
Hendley        		Mean: 158.78 		Best: 928.24 		N:6
Bass           		Mean: 122.31 		Best: 928.24 		N:8
Solis          		Mean: 119.14 		Best: 925.85 		N:8

########## REPORT GEN: 6 ##########
SPECIES: 
Sallade        		Mean: 318.43 		Best: 940.32 		N:3
Hendley        		Mean: 321.44 		Best: 938.72 		N:3
Good           		Mean: 241.4 		Best: 933.81 		N:4
Kleypas        		Mean: 120.22 		Best: 932.88 		N:8
Canfield       		Mean: 319.26 		Best: 931.77 		N:3
Fields         		Mean: 137.0 		Best: 931.77 		N:7
Mathews        		Mean: 315.09 		Best: 931.77 		N:3
Fleagle        		Mean: 97.31 		Best: 930.72 		N:10
Mack           		Mean: 241.19 		Best: 930.72 		N:4
Solis          		Mean: 191.61 		Best: 930.0 		N:5
Rodriguez      		Mean: 478.54 		Best: 928.75 		N:2
Cunningham     		Mean: 119.67 		Best: 928.24 		N:8
Brown          		Mean: 74.78 		Best: 930.72 		N:13
Cook           		Mean: 319.53 		Best: 928.24 		N:3
Brown          		Mean: 138.16 		Best: 928.24 		N:7
Foster         		Mean: 316.82 		Best: 927.19 		N:3
Morton         		Mean: 137.45 		Best: 931.77 		N:7
Bass           		Mean: 138.05 		Best: 928.24 		N:7

########## REPORT GEN: 7 ##########
SPECIES: 
Solis          		Mean: 161.4 		Best: 940.32 		N:6
Kleypas        		Mean: 194.86 		Best: 938.72 		N:5
Cunningham     		Mean: 119.92 		Best: 940.32 		N:8
Cook           		Mean: 96.45 		Best: 938.72 		N:10
Bass           		Mean: 320.31 		Best: 938.72 		N:3
Rodriguez      		Mean: 137.37 		Best: 933.81 		N:7
Sallade        		Mean: 318.98 		Best: 931.77 		N:3
Good           		Mean: 190.26 		Best: 931.77 		N:5
Fields         		Mean: 192.71 		Best: 930.72 		N:5
Hendley        		Mean: 136.54 		Best: 928.75 		N:7
Brown          		Mean: 119.57 		Best: 928.75 		N:8
Brown          		Mean: 120.94 		Best: 931.77 		N:8
Foster         		Mean: 138.71 		Best: 930.0 		N:7
Mack           		Mean: 233.28 		Best: 926.63 		N:4
Canfield       		Mean: 157.58 		Best: 921.39 		N:6
Morton         		Mean: 118.87 		Best: 926.63 		N:8

########## REPORT GEN: 8 ##########
SPECIES: 
Kleypas        		Mean: 120.29 		Best: 945.63 		N:8
Cunningham     		Mean: 160.5 		Best: 940.76 		N:6
Canfield       		Mean: 136.74 		Best: 940.32 		N:7
Bass           		Mean: 192.19 		Best: 938.72 		N:5
Rodriguez      		Mean: 119.74 		Best: 938.72 		N:8
Fields         		Mean: 137.15 		Best: 938.72 		N:7
Brown          		Mean: 87.07 		Best: 938.72 		N:11
Solis          		Mean: 159.51 		Best: 933.95 		N:6
Morton         		Mean: 159.94 		Best: 932.77 		N:6
Mack           		Mean: 472.12 		Best: 931.77 		N:2
Hendley        		Mean: 105.83 		Best: 930.72 		N:9
Cook           		Mean: 119.47 		Best: 928.24 		N:8
Foster         		Mean: 312.91 		Best: 928.24 		N:3
Sallade        		Mean: 137.3 		Best: 929.82 		N:7
Brown          		Mean: 235.27 		Best: 927.19 		N:4
Good           		Mean: 307.54 		Best: 916.02 		N:3

########## REPORT GEN: 9 ##########
SPECIES: 
Fields         		Mean: 189.98 		Best: 945.63 		N:5
Cunningham     		Mean: 95.56 		Best: 940.76 		N:10
Solis          		Mean: 238.15 		Best: 940.37 		N:4
Kleypas        		Mean: 106.68 		Best: 940.32 		N:9
Mack           		Mean: 105.42 		Best: 938.72 		N:9
Hendley        		Mean: 189.24 		Best: 938.72 		N:5
Canfield       		Mean: 191.09 		Best: 933.95 		N:5
Morton         		Mean: 117.76 		Best: 932.77 		N:8
Brown          		Mean: 190.25 		Best: 931.77 		N:5
Good           		Mean: 94.97 		Best: 930.72 		N:10
Bass           		Mean: 465.3 		Best: 928.24 		N:2
Brown          		Mean: 117.6 		Best: 928.24 		N:8
Cook           		Mean: 158.27 		Best: 928.24 		N:6
Sallade        		Mean: 104.38 		Best: 928.24 		N:9
Rodriguez      		Mean: 236.1 		Best: 932.88 		N:4

########## REPORT GEN: 10 ##########
SPECIES: 
Mack           		Mean: 94.95 		Best: 945.63 		N:10
Canfield       		Mean: 117.99 		Best: 945.63 		N:8
Cook           		Mean: 156.57 		Best: 945.63 		N:6
Rodriguez      		Mean: 95.58 		Best: 940.37 		N:10
Cunningham     		Mean: 239.15 		Best: 940.32 		N:4
Foster         		Mean: 185.92 		Best: 938.72 		N:5
Good           		Mean: 135.25 		Best: 933.95 		N:7
Morton         		Mean: 236.51 		Best: 932.77 		N:4
Fields         		Mean: 157.56 		Best: 932.88 		N:6
Hendley        		Mean: 190.17 		Best: 932.88 		N:5
Brown          		Mean: 316.02 		Best: 931.94 		N:3
Bass           		Mean: 135.35 		Best: 930.72 		N:7
Sallade        		Mean: 135.41 		Best: 930.72 		N:7
Brown          		Mean: 134.54 		Best: 928.36 		N:7
Kleypas        		Mean: 135.93 		Best: 928.24 		N:7
Solis          		Mean: 186.62 		Best: 921.39 		N:5

########## REPORT GEN: 11 ##########
SPECIES: 
Fields         		Mean: 136.07 		Best: 945.63 		N:7
Hendley        		Mean: 95.02 		Best: 945.63 		N:10
Kleypas        		Mean: 63.61 		Best: 945.63 		N:15
Solis          		Mean: 117.56 		Best: 940.37 		N:8
Foster         		Mean: 237.76 		Best: 938.72 		N:4
Sallade        		Mean: 235.61 		Best: 931.85 		N:4
Canfield       		Mean: 158.2 		Best: 932.88 		N:6
Bass           		Mean: 135.93 		Best: 932.88 		N:7
Cunningham     		Mean: 134.2 		Best: 940.32 		N:7
Morton         		Mean: 187.77 		Best: 928.78 		N:5
Rodriguez      		Mean: 132.62 		Best: 928.36 		N:7
Brown          		Mean: 234.24 		Best: 928.24 		N:4
Brown          		Mean: 157.77 		Best: 928.36 		N:6
Good           		Mean: 229.92 		Best: 912.04 		N:4
Mack           		Mean: 184.46 		Best: 909.94 		N:5

########## REPORT GEN: 12 ##########
SPECIES: 
Cunningham     		Mean: 156.39 		Best: 945.63 		N:6
Morton         		Mean: 188.96 		Best: 945.63 		N:5
Kleypas        		Mean: 79.04 		Best: 940.88 		N:12
Canfield       		Mean: 104.59 		Best: 940.37 		N:9
Cook           		Mean: 235.88 		Best: 938.72 		N:4
Fields         		Mean: 158.02 		Best: 937.83 		N:6
Bass           		Mean: 134.8 		Best: 931.77 		N:7
Good           		Mean: 156.81 		Best: 931.85 		N:6
Hendley        		Mean: 116.79 		Best: 935.18 		N:8
Foster         		Mean: 187.5 		Best: 928.36 		N:5
Solis          		Mean: 133.6 		Best: 928.24 		N:7
Rodriguez      		Mean: 469.58 		Best: 928.24 		N:2
Brown          		Mean: 104.23 		Best: 928.24 		N:9
Mack           		Mean: 229.85 		Best: 923.04 		N:4
Brown          		Mean: 155.25 		Best: 923.04 		N:6
Sallade        		Mean: 231.33 		Best: 916.02 		N:4

########## REPORT GEN: 13 ##########
SPECIES: 
Morton         		Mean: 187.4 		Best: 946.76 		N:5
Kleypas        		Mean: 84.62 		Best: 945.63 		N:11
Bass           		Mean: 236.34 		Best: 945.63 		N:4
Rodriguez      		Mean: 104.96 		Best: 944.08 		N:9
Mack           		Mean: 104.85 		Best: 940.88 		N:9
Cook           		Mean: 118.46 		Best: 940.32 		N:8
Cunningham     		Mean: 188.98 		Best: 938.72 		N:5
Brown          		Mean: 134.3 		Best: 934.45 		N:7
Hendley        		Mean: 157.74 		Best: 933.6 		N:6
Sallade        		Mean: 156.59 		Best: 931.77 		N:6
Brown          		Mean: 186.18 		Best: 923.04 		N:5
Good           		Mean: 132.63 		Best: 921.39 		N:7
Canfield       		Mean: 116.53 		Best: 918.03 		N:8
Foster         		Mean: 185.61 		Best: 916.02 		N:5
Solis          		Mean: 231.51 		Best: 916.02 		N:4

########## REPORT GEN: 14 ##########
SPECIES: 
Brown          		Mean: 157.37 		Best: 946.76 		N:6
Canfield       		Mean: 234.44 		Best: 946.76 		N:4
Kleypas        		Mean: 234.6 		Best: 945.63 		N:4
Good           		Mean: 187.68 		Best: 945.63 		N:5
Rodriguez      		Mean: 71.73 		Best: 944.08 		N:13
Solis          		Mean: 117.45 		Best: 940.88 		N:8
Fields         		Mean: 155.98 		Best: 940.32 		N:6
Cunningham     		Mean: 187.42 		Best: 938.72 		N:5
Mack           		Mean: 118.02 		Best: 934.45 		N:8
Morton         		Mean: 236.5 		Best: 934.35 		N:4
Bass           		Mean: 157.24 		Best: 931.77 		N:6
Hendley        		Mean: 133.63 		Best: 929.51 		N:7
Sallade        		Mean: 234.49 		Best: 927.87 		N:4
Brown          		Mean: 186.1 		Best: 921.39 		N:5
Cook           		Mean: 102.67 		Best: 916.02 		N:9
Foster         		Mean: 154.67 		Best: 915.02 		N:6

########## REPORT GEN: 15 ##########
SPECIES: 
Fields         		Mean: 237.55 		Best: 948.8 		N:4
Brown          		Mean: 187.3 		Best: 946.76 		N:5
Brown          		Mean: 157.11 		Best: 946.76 		N:6
Foster         		Mean: 190.25 		Best: 945.63 		N:5
Mack           		Mean: 134.01 		Best: 944.08 		N:7
Cunningham     		Mean: 116.8 		Best: 941.21 		N:8
Hendley        		Mean: 72.24 		Best: 940.88 		N:13
Canfield       		Mean: 312.15 		Best: 940.32 		N:3
Rodriguez      		Mean: 155.29 		Best: 935.18 		N:6
Kleypas        		Mean: 233.42 		Best: 933.79 		N:4
Bass           		Mean: 118.31 		Best: 933.6 		N:8
Good           		Mean: 133.32 		Best: 929.51 		N:7
Cook           		Mean: 115.78 		Best: 923.04 		N:8
Solis          		Mean: 233.15 		Best: 921.39 		N:4
Sallade        		Mean: 463.17 		Best: 919.54 		N:2
Morton         		Mean: 92.84 		Best: 916.02 		N:10

########## REPORT GEN: 16 ##########
SPECIES: 
Kleypas        		Mean: 117.45 		Best: 948.8 		N:8
Bass           		Mean: 133.67 		Best: 948.8 		N:7
Sallade        		Mean: 156.33 		Best: 948.8 		N:6
Hendley        		Mean: 234.89 		Best: 946.76 		N:4
Good           		Mean: 189.81 		Best: 946.76 		N:5
Foster         		Mean: 134.42 		Best: 945.63 		N:7
Rodriguez      		Mean: 93.83 		Best: 945.63 		N:10
Solis          		Mean: 156.07 		Best: 945.63 		N:6
Brown          		Mean: 156.75 		Best: 941.21 		N:6
Brown          		Mean: 85.18 		Best: 940.57 		N:11
Cook           		Mean: 155.37 		Best: 940.32 		N:6
Fields         		Mean: 133.55 		Best: 934.13 		N:7
Morton         		Mean: 313.56 		Best: 927.87 		N:3
Mack           		Mean: 132.29 		Best: 918.78 		N:7
Cunningham     		Mean: 231.85 		Best: 918.78 		N:4
Canfield       		Mean: 307.57 		Best: 916.02 		N:3

########## REPORT GEN: 17 ##########
SPECIES: 
Bass           		Mean: 117.53 		Best: 953.66 		N:8
Hendley        		Mean: 189.3 		Best: 948.8 		N:5
Rodriguez      		Mean: 237.5 		Best: 948.8 		N:4
Canfield       		Mean: 104.41 		Best: 948.8 		N:9
Foster         		Mean: 134.7 		Best: 946.76 		N:7
Brown          		Mean: 314.1 		Best: 946.76 		N:3
Brown          		Mean: 118.01 		Best: 945.63 		N:8
Cunningham     		Mean: 104.91 		Best: 945.63 		N:9
Solis          		Mean: 118.31 		Best: 946.76 		N:8
Mack           		Mean: 134.22 		Best: 940.32 		N:7
Kleypas        		Mean: 232.44 		Best: 933.79 		N:4
Fields         		Mean: 116.08 		Best: 933.72 		N:8
Morton         		Mean: 116.53 		Best: 932.71 		N:8
Good           		Mean: 307.51 		Best: 916.02 		N:3
Sallade        		Mean: 183.49 		Best: 912.04 		N:5
Cook           		Mean: 231.37 		Best: 915.77 		N:4

########## REPORT GEN: 18 ##########
SPECIES: 
Good           		Mean: 117.8 		Best: 953.66 		N:8
Kleypas        		Mean: 156.48 		Best: 948.8 		N:6
Fields         		Mean: 117.95 		Best: 948.8 		N:8
Morton         		Mean: 103.91 		Best: 946.76 		N:9
Sallade        		Mean: 310.17 		Best: 946.76 		N:3
Cook           		Mean: 116.98 		Best: 946.76 		N:8
Cunningham     		Mean: 187.6 		Best: 945.74 		N:5
Brown          		Mean: 104.31 		Best: 945.63 		N:9
Solis          		Mean: 187.78 		Best: 945.63 		N:5
Foster         		Mean: 103.86 		Best: 945.63 		N:9
Bass           		Mean: 186.93 		Best: 935.16 		N:5
Brown          		Mean: 155.92 		Best: 934.94 		N:6
Rodriguez      		Mean: 92.96 		Best: 933.79 		N:10
Hendley        		Mean: 154.71 		Best: 932.71 		N:6
Mack           		Mean: 312.25 		Best: 929.82 		N:3

########## REPORT GEN: 19 ##########
SPECIES: 
Sallade        		Mean: 117.42 		Best: 953.66 		N:8
Brown          		Mean: 134.35 		Best: 953.66 		N:7
Fields         		Mean: 188.03 		Best: 948.8 		N:5
Hendley        		Mean: 103.95 		Best: 948.8 		N:9
Morton         		Mean: 135.14 		Best: 948.8 		N:7
Cunningham     		Mean: 157.17 		Best: 946.76 		N:6
Foster         		Mean: 134.5 		Best: 946.76 		N:7
Cook           		Mean: 134.94 		Best: 946.72 		N:7
Good           		Mean: 85.05 		Best: 946.06 		N:11
Bass           		Mean: 116.97 		Best: 939.58 		N:8
Mack           		Mean: 307.54 		Best: 926.32 		N:3
Brown          		Mean: 185.44 		Best: 919.24 		N:5
Kleypas        		Mean: 307.91 		Best: 916.02 		N:3
Solis          		Mean: 132.12 		Best: 916.02 		N:7
Rodriguez      		Mean: 131.71 		Best: 916.02 		N:7

########## REPORT GEN: 20 ##########
SPECIES: 
Sallade        		Mean: 117.57 		Best: 953.66 		N:8
Good           		Mean: 67.26 		Best: 953.66 		N:14
Rodriguez      		Mean: 472.05 		Best: 953.66 		N:2
Hendley        		Mean: 117.16 		Best: 948.8 		N:8
Morton         		Mean: 103.57 		Best: 946.76 		N:9
Cunningham     		Mean: 116.39 		Best: 946.76 		N:8
Brown          		Mean: 315.82 		Best: 946.76 		N:3
Fields         		Mean: 157.45 		Best: 946.76 		N:6
Kleypas        		Mean: 155.53 		Best: 934.71 		N:6
Solis          		Mean: 154.9 		Best: 934.63 		N:6
Bass           		Mean: 186.29 		Best: 930.52 		N:5
Brown          		Mean: 132.6 		Best: 922.38 		N:7
Mack           		Mean: 184.86 		Best: 916.02 		N:5
Cook           		Mean: 102.51 		Best: 912.04 		N:9
Foster         		Mean: 184.94 		Best: 914.91 		N:5

########## REPORT GEN: 21 ##########
SPECIES: 
Cunningham     		Mean: 104.38 		Best: 953.66 		N:9
Brown          		Mean: 93.96 		Best: 953.66 		N:10
Brown          		Mean: 186.09 		Best: 953.66 		N:5
Hendley        		Mean: 92.69 		Best: 946.76 		N:10
Mack           		Mean: 117.22 		Best: 946.76 		N:8
Fields         		Mean: 314.73 		Best: 946.06 		N:3
Cook           		Mean: 134.42 		Best: 946.04 		N:7
Kleypas        		Mean: 134.52 		Best: 945.91 		N:7
Solis          		Mean: 186.65 		Best: 944.19 		N:5
Foster         		Mean: 133.34 		Best: 944.08 		N:7
Morton         		Mean: 154.72 		Best: 940.59 		N:6
Bass           		Mean: 185.76 		Best: 940.59 		N:5
Good           		Mean: 116.42 		Best: 934.52 		N:8
Sallade        		Mean: 102.72 		Best: 922.38 		N:9

########## REPORT GEN: 22 ##########
SPECIES: 
Brown          		Mean: 132.62 		Best: 953.66 		N:7
Hendley        		Mean: 117.77 		Best: 953.66 		N:8
Rodriguez      		Mean: 155.23 		Best: 952.31 		N:6
Morton         		Mean: 133.34 		Best: 946.76 		N:7
Good           		Mean: 155.67 		Best: 946.76 		N:6
Kleypas        		Mean: 117.09 		Best: 946.06 		N:8
Sallade        		Mean: 188.97 		Best: 946.04 		N:5
Cunningham     		Mean: 134.15 		Best: 945.91 		N:7
Cook           		Mean: 77.69 		Best: 944.07 		N:12
Mack           		Mean: 231.74 		Best: 933.72 		N:4
Foster         		Mean: 187.07 		Best: 934.52 		N:5
Fields         		Mean: 187.66 		Best: 934.94 		N:5
Bass           		Mean: 231.25 		Best: 931.27 		N:4
Brown          		Mean: 92.59 		Best: 919.52 		N:10
Solis          		Mean: 153.59 		Best: 919.18 		N:6

########## REPORT GEN: 23 ##########
SPECIES: 
Hendley        		Mean: 135.05 		Best: 953.66 		N:7
Rodriguez      		Mean: 116.51 		Best: 953.66 		N:8
Cook           		Mean: 85.09 		Best: 952.31 		N:11
Sallade        		Mean: 185.41 		Best: 946.76 		N:5
Mack           		Mean: 237.19 		Best: 946.76 		N:4
Cunningham     		Mean: 133.88 		Best: 946.31 		N:7
Kleypas        		Mean: 317.14 		Best: 946.06 		N:3
Fields         		Mean: 103.19 		Best: 945.91 		N:9
Good           		Mean: 103.92 		Best: 940.59 		N:9
Bass           		Mean: 115.89 		Best: 935.76 		N:8
Brown          		Mean: 132.01 		Best: 934.52 		N:7
Morton         		Mean: 186.37 		Best: 933.7 		N:5
Solis          		Mean: 186.36 		Best: 933.36 		N:5
Foster         		Mean: 154.79 		Best: 932.88 		N:6
Brown          		Mean: 153.76 		Best: 925.37 		N:6

########## REPORT GEN: 24 ##########
SPECIES: 
Cook           		Mean: 104.14 		Best: 953.66 		N:9
Sallade        		Mean: 186.82 		Best: 953.66 		N:5
Solis          		Mean: 118.02 		Best: 952.31 		N:8
Good           		Mean: 134.84 		Best: 946.76 		N:7
Bass           		Mean: 72.02 		Best: 946.76 		N:13
Morton         		Mean: 72.09 		Best: 946.76 		N:13
Foster         		Mean: 93.08 		Best: 946.31 		N:10
Hendley        		Mean: 84.9 		Best: 935.76 		N:11
Cunningham     		Mean: 187.13 		Best: 935.64 		N:5
Fields         		Mean: 155.26 		Best: 934.64 		N:6
Rodriguez      		Mean: 233.44 		Best: 932.68 		N:4
Brown          		Mean: 184.99 		Best: 931.92 		N:5
Brown          		Mean: 463.66 		Best: 925.37 		N:2
Mack           		Mean: 458.54 		Best: 909.27 		N:2

########## REPORT GEN: 25 ##########
SPECIES: 
Cook           		Mean: 117.47 		Best: 953.66 		N:8
Bass           		Mean: 104.76 		Best: 953.66 		N:9
Hendley        		Mean: 155.81 		Best: 953.66 		N:6
Rodriguez      		Mean: 104.52 		Best: 953.66 		N:9
Sallade        		Mean: 188.05 		Best: 952.31 		N:5
Solis          		Mean: 104.13 		Best: 946.76 		N:9
Good           		Mean: 133.61 		Best: 946.76 		N:7
Fields         		Mean: 133.71 		Best: 946.31 		N:7
Cunningham     		Mean: 93.25 		Best: 936.44 		N:10
Brown          		Mean: 132.83 		Best: 935.64 		N:7
Brown          		Mean: 154.98 		Best: 934.84 		N:6
Morton         		Mean: 133.14 		Best: 933.7 		N:7
Foster         		Mean: 184.84 		Best: 931.92 		N:5
Mack           		Mean: 185.04 		Best: 916.5 		N:5

########## REPORT GEN: 26 ##########
SPECIES: 
Hendley        		Mean: 116.57 		Best: 953.66 		N:8
Sallade        		Mean: 134.51 		Best: 953.66 		N:7
Cunningham     		Mean: 104.78 		Best: 953.66 		N:9
Brown          		Mean: 134.08 		Best: 953.66 		N:7
Mack           		Mean: 157.41 		Best: 953.66 		N:6
Rodriguez      		Mean: 116.93 		Best: 952.31 		N:8
Brown          		Mean: 236.36 		Best: 952.31 		N:4
Foster         		Mean: 155.41 		Best: 947.01 		N:6
Solis          		Mean: 117.38 		Best: 946.76 		N:8
Cook           		Mean: 103.55 		Best: 936.9 		N:9
Fields         		Mean: 104.31 		Best: 935.76 		N:9
Morton         		Mean: 132.9 		Best: 934.84 		N:7
Good           		Mean: 115.55 		Best: 931.92 		N:8
Bass           		Mean: 231.15 		Best: 925.37 		N:4

########## REPORT GEN: 27 ##########
SPECIES: 
Hendley        		Mean: 72.15 		Best: 953.66 		N:13
Sallade        		Mean: 157.7 		Best: 953.66 		N:6
Mack           		Mean: 315.71 		Best: 953.66 		N:3
Rodriguez      		Mean: 134.26 		Best: 953.66 		N:7
Foster         		Mean: 188.08 		Best: 953.66 		N:5
Morton         		Mean: 115.61 		Best: 953.66 		N:8
Cook           		Mean: 92.95 		Best: 952.31 		N:10
Fields         		Mean: 154.91 		Best: 952.31 		N:6
Brown          		Mean: 133.16 		Best: 947.01 		N:7
Cunningham     		Mean: 236.79 		Best: 946.76 		N:4
Brown          		Mean: 186.13 		Best: 939.73 		N:5
Good           		Mean: 187.37 		Best: 939.73 		N:5
Solis          		Mean: 93.1 		Best: 938.54 		N:10
Bass           		Mean: 84.77 		Best: 936.9 		N:11

########## REPORT GEN: 28 ##########
SPECIES: 
Fields         		Mean: 105.69 		Best: 964.63 		N:9
Brown          		Mean: 94.85 		Best: 964.59 		N:10
Sallade        		Mean: 158.58 		Best: 953.66 		N:6
Morton         		Mean: 71.87 		Best: 953.66 		N:13
Cook           		Mean: 155.85 		Best: 953.66 		N:6
Bass           		Mean: 156.7 		Best: 953.66 		N:6
Hendley        		Mean: 236.49 		Best: 952.31 		N:4
Cunningham     		Mean: 155.41 		Best: 952.31 		N:6
Good           		Mean: 94.1 		Best: 952.31 		N:10
Rodriguez      		Mean: 103.3 		Best: 947.01 		N:9
Foster         		Mean: 134.1 		Best: 947.01 		N:7
Brown          		Mean: 155.11 		Best: 935.12 		N:6
Mack           		Mean: 232.77 		Best: 924.12 		N:4
Solis          		Mean: 230.48 		Best: 913.2 		N:4

########## REPORT GEN: 29 ##########
SPECIES: 
Cook           		Mean: 156.36 		Best: 967.02 		N:6
Sallade        		Mean: 156.31 		Best: 964.59 		N:6
Bass           		Mean: 238.33 		Best: 961.43 		N:4
Good           		Mean: 118.46 		Best: 961.15 		N:8
Cunningham     		Mean: 78.67 		Best: 960.48 		N:12
Hendley        		Mean: 117.3 		Best: 953.66 		N:8
Foster         		Mean: 117.9 		Best: 953.66 		N:8
Brown          		Mean: 133.9 		Best: 953.66 		N:7
Morton         		Mean: 116.99 		Best: 952.31 		N:8
Mack           		Mean: 187.51 		Best: 952.31 		N:5
Brown          		Mean: 93.86 		Best: 947.01 		N:10
Solis          		Mean: 116.94 		Best: 942.41 		N:8
Fields         		Mean: 155.41 		Best: 936.2 		N:6
Rodriguez      		Mean: 231.82 		Best: 923.16 		N:4

########## REPORT GEN: 30 ##########
SPECIES: 
Bass           		Mean: 105.1 		Best: 968.35 		N:9
Sallade        		Mean: 186.9 		Best: 967.02 		N:5
Rodriguez      		Mean: 242.85 		Best: 967.02 		N:4
Cunningham     		Mean: 192.54 		Best: 964.59 		N:5
Cook           		Mean: 157.41 		Best: 961.43 		N:6
Foster         		Mean: 320.77 		Best: 961.15 		N:3
Brown          		Mean: 103.71 		Best: 948.6 		N:9
Morton         		Mean: 117.35 		Best: 947.79 		N:8
Hendley        		Mean: 133.97 		Best: 944.97 		N:7
Mack           		Mean: 103.86 		Best: 944.97 		N:9
Good           		Mean: 133.04 		Best: 944.66 		N:7
Brown          		Mean: 103.19 		Best: 939.49 		N:9
Fields         		Mean: 93.8 		Best: 939.49 		N:10
Solis          		Mean: 93.06 		Best: 939.49 		N:10

########## REPORT GEN: 31 ##########
SPECIES: 
Cunningham     		Mean: 59.3 		Best: 968.49 		N:16
Bass           		Mean: 68.04 		Best: 968.35 		N:14
Hendley        		Mean: 137.28 		Best: 968.35 		N:7
Foster         		Mean: 240.61 		Best: 967.02 		N:4
Cook           		Mean: 105.88 		Best: 964.59 		N:9
Sallade        		Mean: 78.07 		Best: 960.48 		N:12
Fields         		Mean: 157.84 		Best: 964.59 		N:6
Good           		Mean: 94.01 		Best: 953.66 		N:10
Rodriguez      		Mean: 185.92 		Best: 952.96 		N:5
Morton         		Mean: 188.51 		Best: 952.96 		N:5
Mack           		Mean: 311.05 		Best: 934.19 		N:3
Brown          		Mean: 232.55 		Best: 927.53 		N:4
Solis          		Mean: 228.7 		Best: 915.72 		N:4

########## REPORT GEN: 32 ##########
SPECIES: 
Fields         		Mean: 94.37 		Best: 968.35 		N:10
Good           		Mean: 191.12 		Best: 968.35 		N:5
Rodriguez      		Mean: 95.02 		Best: 968.49 		N:10
Mack           		Mean: 136.63 		Best: 968.35 		N:7
Brown          		Mean: 93.4 		Best: 967.02 		N:10
Brown          		Mean: 155.93 		Best: 967.02 		N:6
Cunningham     		Mean: 159.71 		Best: 968.35 		N:6
Bass           		Mean: 157.73 		Best: 964.59 		N:6
Sallade        		Mean: 94.13 		Best: 961.15 		N:10
